,Date,Predicted Price,Original Price,21 SMA,50 SMA,100 SMA,200 SMA,RSI,21-avg volume,Upper BBand,Middle BBand,Lower BBand,52-week high,52-week low,MACD,MACD Signal,MACD Trend
24,2015-02-23,0.48633778,438.3385,461.9540809523813,474.6168240000012,490.7305279999978,489.8706735000019,29.67567125594903,285.7142857142857,510.6516061659768,460.694225,410.7368438340232,560.8584,253.8263,-13.631830925564316,-11.819033749817688,Bearish
25,2015-02-24,0.47922826,438.3385,459.62966666666705,473.44532000000123,490.0815139999978,489.9634180000019,29.67567125594903,273.8095238095238,507.5676297754537,458.25359000000003,408.9395502245462,560.8584,253.8263,-13.22434170214632,-12.100095340283413,Bearish
26,2015-02-25,0.48611382,438.3385,457.3052523809527,472.2738160000012,489.43249999999773,489.9512150000019,29.67567125594902,261.9047619047619,503.9830236252497,455.812955,407.6428863747503,560.8584,253.8263,-12.754379014828546,-12.23095207519244,Bearish
27,2015-02-26,0.47250184,438.3385,454.98083809523837,471.10231200000123,488.7834859999977,489.8292320000018,29.67567125594903,250.0,499.86084449929945,453.37232,406.8837955007004,560.8584,253.8263,-12.240825581575791,-12.232926776469109,Bearish
28,2015-02-27,0.47887775,438.3385,452.65642380952414,469.9308080000012,488.1344719999977,489.7072490000018,29.67567125594902,238.09523809523807,495.13979189519296,450.93168499999985,406.7235781048069,560.8584,253.8263,-11.698972315277214,-12.126135884230733,Bullish
29,2015-03-02,0.48219734,438.3385,450.3320095238098,469.2279060000012,487.4854579999977,489.5852660000018,29.67567125594902,226.19047619047618,489.7206137469723,448.49104999999986,407.2614862530275,560.8584,253.8263,-11.141121781108554,-11.929133063606296,Bullish
30,2015-03-03,0.48633778,419.7896,447.12431428571455,468.15402600000124,486.6509549999976,489.37053850000177,19.796149408371253,214.28571428571428,484.1144342202132,445.12296999999984,406.1315057797866,560.8584,253.8263,-12.056779376490796,-11.954662326183195,Bearish
31,2015-03-04,0.47413564,424.6709,444.1490619047621,467.1777720000012,485.86526499999763,489.1802175000017,26.710903874121787,207.14285714285717,476.8081407593039,441.9989549999999,407.1897692406958,560.8584,253.8263,-12.247384280263304,-12.013206716999216,Bearish
32,2015-03-05,0.47756190000000004,445.9044,442.18492857142866,466.6261880000012,485.29190999999764,489.09606400000166,47.79532599374152,197.6190476190476,468.0430534535868,439.93661499999985,411.8301765464128,560.8584,253.8263,-10.563306819911134,-11.723226737581598,Bullish
33,2015-03-06,0.4657517,468.1923,441.282123809524,466.5203620000013,484.9414339999976,489.0110320000017,60.60628235839465,192.85714285714286,461.35406342985834,438.98866999999984,416.6232765701414,560.8584,263.5888,-7.345541210576414,-10.847689632180565,Bullish
34,2015-03-09,0.48086756,468.1923,440.37931904761933,466.41453600000125,484.5909579999976,488.92600000000175,60.60628235839465,183.33333333333331,462.8602875457882,439.25811499999986,415.6559424542114,560.8584,263.5888,-4.740789907415888,-9.626309687227627,Bullish
35,2015-03-10,0.4942706,491.5932,441.75026190476206,466.77672800000124,484.5098599999976,488.8505845000017,69.66953376357901,173.80952380952382,474.6852026296853,441.85446499999983,409.0237273703143,560.8584,263.5888,-0.7792657820631348,-7.8569009061947295,Bullish
36,2015-03-11,0.5162445,491.5932,444.2229761904763,467.13892000000124,484.42876199999773,488.77516900000165,69.66953376357901,138.0952380952381,483.7537900929492,444.45081499999986,405.1478399070504,560.8584,263.5888,2.3333729575387565,-5.818846133448032,Bullish
37,2015-03-12,0.5251354,514.9745,447.8090857142858,467.9687380000012,484.40923699999763,488.81666000000166,76.0536622996751,133.33333333333334,497.99725019569667,448.2162299999998,398.43520980430304,560.8584,263.5888,6.610633816685095,-3.3329501434214066,Bullish
38,2015-03-13,0.54642606,540.7183,452.62109047619066,469.3134320000013,484.6422689999976,488.9868700000016,80.83650357080035,128.57142857142858,516.4301354288554,454.36760999999984,392.3050845711445,560.8584,263.5888,11.94006572836173,-0.2783469690647791,Bullish
39,2015-03-16,0.5469997,513.6858,457.1922857142859,470.1174760000012,484.60497599999763,489.0219175000016,65.94252624307195,123.8095238095238,524.8232645711944,458.1349749999998,391.4466854288052,560.8584,263.5888,13.823038699295125,2.5419301646072014,Bullish
40,2015-03-17,0.57160014,488.0103,459.5576095238097,470.4080100000013,484.3109279999977,488.9285875000015,55.48566501170053,111.90476190476191,527.8701970475946,460.6185649999998,393.3669329524052,560.8584,263.5888,13.092586882228206,4.6520615081314025,Bullish
41,2015-03-18,0.5722067,463.6137,460.76119047619073,470.2106120000012,483.7729139999977,488.71327450000155,47.73916291483426,78.57142857142857,528.3571891455352,461.8823249999999,395.4074608544643,560.8584,263.5888,10.424924781879724,5.806634162881067,Bullish
42,2015-03-19,0.55801135,463.6137,461.9647714285716,470.01321400000137,483.2348999999977,488.4979615000015,47.73916291483426,78.57142857142857,528.737672864366,463.1460849999999,397.5544971356337,560.8584,263.5888,8.216073566143677,6.288522043533589,Bullish
43,2015-03-20,0.5358974,463.6137,463.1683523809525,469.81581600000135,482.69688599999773,488.2826485000015,47.73916291483426,78.57142857142857,529.0072793087221,464.4098449999999,399.81241069127736,560.8584,263.5888,6.391861661323162,6.309189967091505,Bullish
44,2015-03-23,0.53105587,463.6137,464.3719333333335,469.1498160000015,482.1588719999978,488.0696905000015,47.73916291483426,78.57142857142857,529.1607999708733,465.67360499999984,402.18641002912636,560.8584,268.4701,4.88979408163391,6.025310789999986,Bearish
