,Date,Predicted Price,Original Price,21 SMA,50 SMA,100 SMA,200 SMA,RSI,21-avg volume,Upper BBand,Middle BBand,Lower BBand,52-week high,52-week low,MACD,MACD Signal,MACD Trend
1136,2019-05-08,0.5949538000000001,84.6473,87.96742380952391,88.29326599999979,86.26708500000004,82.19620999999998,31.69191087640064,443156.85714285716,91.41298256215734,88.09239999999978,84.77181743784226,91.152,70.3406,-0.4588895884616022,-0.025997974469127674,Bearish
1137,2019-05-09,0.5899603,84.1344,87.90392380952389,88.21119199999981,86.35287900000004,82.22488249999995,29.993723728027838,397490.1904761905,91.62084945094341,88.01247999999978,84.40411054905618,91.152,70.3406,-0.6930418347282057,-0.15940674652094328,Bearish
1138,2019-05-10,0.5674184,83.7669,87.81030952380961,88.11567399999979,86.43689300000004,82.24024999999995,28.80280734115972,377347.33333333326,91.88941511003159,87.86930999999979,83.84920488996801,91.152,70.3406,-0.8979127759943141,-0.3071079524156174,Bearish
1139,2019-05-13,0.55629855,79.5871,87.47491904761914,87.92255999999979,86.48281500000006,82.23623149999995,19.378435140272188,359061.61904761905,92.91067295048971,87.52099499999979,82.1313170495099,91.152,70.3406,-1.38162291201769,-0.5220109443360319,Bearish
1140,2019-05-14,0.5356539,78.9973,87.11510476190485,87.72357999999979,86.52283900000006,82.23244949999997,18.460534180805357,370347.33333333326,93.645351544055,87.09831499999979,80.5512784559446,91.152,70.3406,-1.7919026720130091,-0.7759892898714273,Bearish
1141,2019-05-15,0.5127988,78.8007,86.70319047619057,87.52774999999978,86.55702600000005,82.22744549999997,18.15188699049721,386442.5714285714,94.17954867553992,86.69785999999979,79.21617132445968,91.152,70.3406,-2.1086095760319807,-1.042513347103538,Bearish
1142,2019-05-16,0.48145119999999997,78.1938,86.29290476190485,87.32801799999979,86.58119100000003,82.21940699999998,17.19608911989667,389109.2380952381,94.42187715884165,86.15978499999979,77.89769284115795,91.152,70.3406,-2.3811257022459102,-1.3102358181320124,Bearish
1143,2019-05-17,0.47152330000000003,74.4927,85.6042095238096,87.07155999999979,86.56867400000006,82.19162849999995,12.777462837832447,387942.5714285714,94.69306665671856,85.3268199999998,75.96057334328103,91.152,70.3406,-2.862744596547472,-1.6207375738151044,Bearish
1144,2019-05-20,0.43383837,73.92,84.78363809523817,86.80661199999979,86.54318300000006,82.15907549999996,12.252807330845878,332714.2857142857,94.829005488774,84.5139399999998,74.1988745112256,91.152,70.3406,-3.2531429371364737,-1.9472186464793784,Bearish
1145,2019-05-21,0.41435790000000006,72.5524,83.94434285714293,86.51167599999977,86.49421500000008,82.11968449999995,11.082538957758796,328476.19047619053,94.90865056845846,83.6553299999998,72.40200943154113,91.152,70.3406,-3.631034025208919,-2.2839817222252865,Bearish
1146,2019-05-22,0.3935195,76.1766,83.29920000000007,86.29218999999979,86.48387700000008,82.09558749999997,30.12797571516221,352285.7142857142,94.36592597667072,82.9920349999998,71.61814402332885,91.152,70.3406,-3.5966132648644447,-2.546508030753118,Bearish
1147,2019-05-23,0.38809088,79.9632,82.84780476190483,86.13970599999978,86.51502900000007,82.09121999999995,43.69722048076524,365595.2380952381,93.51532209493149,82.5048199999998,71.49431790506809,91.152,70.3406,-3.2265934296673184,-2.682525110535958,Bearish
1148,2019-05-24,0.39290026,83.4934,82.55189523809531,86.04892999999979,86.58395400000009,82.10354749999995,52.883858987264226,369333.33333333326,92.76737918615173,82.20821999999978,71.64906081384783,91.152,70.3406,-2.618310157878497,-2.669682120004466,Bullish
1149,2019-05-27,0.44299325,80.5701,82.13021428571435,85.85267599999978,86.61261000000009,82.09878999999997,46.166311721224744,392928.5714285714,91.87979352194745,81.78382999999978,71.68786647805213,91.152,70.3406,-2.3450943733387817,-2.604764570671329,Bullish
1150,2019-05-28,0.45371997,76.9886,81.55548571428578,85.59658799999976,86.5894740000001,82.07612499999998,39.53962563926793,394190.47619047615,90.95094882805971,81.19233499999976,71.43372117193984,91.152,70.3406,-2.3900154039889827,-2.56181473733486,Bullish
1151,2019-05-29,0.46925446,80.835,81.17531904761911,85.41264199999978,86.6037310000001,82.07269199999998,48.14782591162306,402071.4285714286,89.90288229333551,80.79315999999976,71.68343770666405,91.152,70.3406,-2.091137973256366,-2.467679384519161,Bullish
1152,2019-05-30,0.48074302,78.8093,80.69869047619052,85.20100399999976,86.59921300000009,82.05913049999998,44.5503490673324,451500.0,88.73994807310537,80.31021999999976,71.88049192689414,91.152,70.3406,-1.994738413870337,-2.3730911903893963,Bullish
1153,2019-05-31,0.47637108,78.8093,80.23874761904766,84.98662999999976,86.55508100000011,82.04035299999998,44.5503490673324,473238.0952380953,87.71618392362416,79.88967999999976,72.06317607637536,91.152,70.3406,-1.8964796318571189,-2.2777688786829406,Bullish
1154,2019-06-03,0.45549682,77.8348,79.79182857142862,84.76490399999976,86.47765000000014,82.01996799999998,42.76751303000319,516357.1428571429,86.72776730733938,79.46015999999976,72.19255269266017,91.152,70.3406,-1.8756218438768852,-2.1973394717217296,Bullish
1155,2019-06-04,0.46094468,77.8348,79.38276190476195,84.54317799999976,86.38728900000014,81.99978199999998,42.76751303000319,532380.9523809524,85.52351388332924,79.02038499999978,72.51725611667031,91.152,70.3406,-1.8379056641900744,-2.1254527102153986,Bullish
1156,2019-06-05,0.44617504,77.8348,78.96392857142862,84.30127999999976,86.30705800000014,81.98787799999998,42.76751303000318,552333.3333333335,84.66100331436999,78.67975999999976,72.69851668562954,91.152,70.3406,-1.787411156866327,-2.0578443995455844,Bullish
1157,2019-06-06,0.44068554,77.8348,78.63952380952388,84.07493799999976,86.23094500000013,81.99094549999998,42.76751303000318,575357.1428571428,83.8026650630083,78.36477999999978,72.92689493699125,91.152,70.3406,-1.7274805752666254,-1.991771634689793,Bullish
1158,2019-06-07,0.44402984,77.8348,78.33954285714293,83.84585999999976,86.14461900000015,81.99194250000001,42.76751303000318,582880.9523809524,82.90948592944763,78.06817499999978,73.22686407055194,91.152,70.3406,-1.6608400275715098,-1.925585313266136,Bullish
1159,2019-06-10,0.4412724,77.8348,78.05706190476197,83.63473199999973,86.04330400000015,81.99373549999999,42.76751303000319,599714.2857142857,82.7719118039994,77.98055999999978,73.18920819600018,91.152,70.3406,-1.5897018203736764,-1.858408614687644,Bullish
1160,2019-06-11,0.43307322,81.7155,78.15841428571436,83.49232999999975,85.97733700000015,82.01660449999997,54.16257796902618,634928.5714285715,83.16289143627415,78.1164699999998,73.07004856372544,91.152,70.3406,-1.2062789877215323,-1.727982689294422,Bullish
1161,2019-06-12,0.45900318,83.6216,78.37861904761911,83.40223799999973,85.94435000000016,82.05147249999997,58.530030528022834,711642.8571428572,83.94335564122834,78.35751499999978,72.77167435877122,91.152,70.3406,-0.7400761531624909,-1.5304013820680358,Bullish
1162,2019-06-13,0.46719992,84.7531,78.66206666666673,83.33340799999975,85.91823000000015,82.09163999999998,60.91101191338715,754238.0952380953,84.92621012415151,78.6854799999998,72.44474987584805,91.152,70.3406,-0.27612149756024,-1.2795454051664763,Bullish
1163,2019-06-14,0.50030917,84.8233,78.9777571428572,83.27264999999973,85.88869500000015,82.13056549999997,61.06038802191289,770857.1428571428,85.67489077780675,79.20200999999976,72.7291292221928,91.152,70.3406,0.09612242346784684,-1.0044118394396118,Bullish
1164,2019-06-17,0.53675354,83.0426,79.3848952380953,83.18294599999973,85.84522300000015,82.15696399999997,55.28871716215984,779666.6666666665,85.85782286589733,79.65813999999978,73.45845713410222,91.152,70.3406,0.2446209664560257,-0.7546052782604843,Bullish
1165,2019-06-18,0.5455524,81.6918,79.75498095238102,83.08126799999972,85.78264300000015,82.17788299999997,51.325395863077496,798666.6666666665,85.4376683814271,80.11510999999976,74.79255161857246,91.152,70.3406,0.2504221500911399,-0.5535997925901595,Bullish
1166,2019-06-19,0.5297681,80.5251,80.13463333333341,82.98241199999973,85.71877300000017,82.20021499999997,48.11709563303591,785642.8571428572,85.33970779082662,80.33253499999978,75.32536220917294,91.152,70.3406,0.15904333783841196,-0.4110711665044452,Bullish
1167,2019-06-20,0.526566,81.7707,80.40101904761913,82.90316999999973,85.65706400000015,82.22395699999997,51.59589194936394,772785.7142857143,85.46527956595727,80.4229099999998,75.3805404340423,91.152,70.3406,0.18500189418926996,-0.2918565543657022,Bullish
1168,2019-06-21,0.5055322,81.183,80.45910476190483,82.79422399999973,85.59450200000015,82.24380499999998,49.895958701475976,752619.0476190477,85.16558688276344,80.30738999999978,75.44919311723613,91.152,70.3406,0.1563494594876289,-0.20221535159503595,Bullish
1169,2019-06-24,0.49798343,79.7708,80.28183809523816,82.65857199999975,85.51831200000015,82.26085249999997,45.97606956351297,745738.0952380953,85.12946887100645,80.2674249999998,75.40538112899313,91.152,70.3406,0.019465079485058826,-0.157879265379017,Bullish
1170,2019-06-25,0.49601775,78.5427,80.18529523809529,82.48040799999976,85.42984100000014,82.26755699999995,42.825202734931224,719928.5714285716,85.04194966063082,80.34512999999978,75.64831033936873,91.152,70.3406,-0.18597043281877745,-0.1634974988669691,Bearish
1171,2019-06-26,0.4842548,78.9637,80.27934761904768,82.32348599999976,85.33050900000015,82.26973999999997,44.23606515536868,723071.4285714284,84.9800713744475,80.2515649999998,75.52305862555207,91.152,70.3406,-0.3112208150190128,-0.19304216209737785,Bearish
