,Date,Predicted Price,Original Price,21 SMA,50 SMA,100 SMA,200 SMA,RSI,21-avg volume,Upper BBand,Middle BBand,Lower BBand,52-week high,52-week low,MACD,MACD Signal,MACD Trend
1159,2019-10-11,34.529877,34.55,31.46571428571436,30.622799999999962,33.82130000000001,38.03560000000006,67.05937289569671,2061309.523809524,35.947361108920724,31.537500000000016,27.1276388910793,50.16,28.57,1.0567208814358722,0.5026161334387489,Bullish
1160,2019-10-14,35.106064,33.57,31.634285714285788,30.67039999999996,33.74460000000001,37.982750000000046,59.727814033886794,1922857.1428571432,36.13743941710765,31.63950000000002,27.14156058289239,50.16,28.57,1.0309109482240686,0.6082750963958129,Bullish
1161,2019-10-15,34.271767,33.68,31.736666666666746,30.738399999999963,33.68960000000001,37.92750000000006,60.2530947413703,1911119.047619048,36.326537731575506,31.74150000000002,27.15646226842453,50.16,28.57,1.0077161464401885,0.6881633064046879,Bullish
1162,2019-10-16,33.92094,35.08,31.90047619047627,30.85679999999996,33.62930000000001,37.879700000000064,66.28117131407447,1816833.333333333,36.737904919821865,31.942000000000014,27.14609508017817,50.16,28.57,1.0897405479321307,0.7684787547101765,Bullish
1163,2019-10-17,34.18715,34.67,32.07190476190484,30.974799999999963,33.55230000000002,37.83100000000006,63.25554993027325,1753500.0,37.03819924047011,32.107500000000016,27.176800759529925,50.16,28.57,1.1088794317456845,0.8365588901172779,Bullish
1164,2019-10-18,34.226807,34.02,32.198571428571505,31.07779999999996,33.468800000000016,37.776150000000065,58.682096992092134,1764738.0952380954,37.22909463243311,32.25850000000001,27.287905367566914,50.16,28.57,1.059385629243529,0.8811242379425283,Bullish
1165,2019-10-21,34.337326000000004,32.47,32.268571428571505,31.149799999999967,33.38730000000001,37.70735000000006,49.49265116609422,1779190.4761904762,37.256935269936,32.36550000000001,27.474064730064025,50.16,28.57,0.8848889392006072,0.881877178194144,Bullish
1166,2019-10-22,34.449721999999994,32.47,32.37047619047627,31.221799999999966,33.30580000000001,37.638600000000075,49.49265116609422,1814047.6190476192,37.252837673211076,32.49400000000001,27.73516232678895,50.16,28.57,0.7380908038199578,0.8531199033193068,Bearish
1167,2019-10-23,33.309902,33.26,32.530476190476264,31.309599999999968,33.23220000000001,37.57665000000007,53.77178239923668,1831404.761904762,37.1669436604245,32.71850000000002,28.27005633957554,50.16,28.57,0.6776866714981367,0.8180332569550728,Bearish
1168,2019-10-24,33.17425,33.67,32.7638095238096,31.405599999999968,33.16270000000001,37.51420000000007,55.86183288374718,1834738.0952380954,37.00849303059409,32.973000000000006,28.937506969405927,50.16,28.57,0.6553451242773605,0.7854956304195303,Bearish
1169,2019-10-25,33.154587,34.47,33.044285714285785,31.523599999999966,33.10120000000002,37.45520000000007,59.69130715540749,1818380.9523809524,36.88291480846268,33.24850000000001,29.61408519153734,50.16,28.57,0.6941904063775794,0.7672345856111401,Bearish
1170,2019-10-28,33.16547,35.02,33.332857142857215,31.641599999999976,33.06550000000001,37.398450000000075,62.12431096811877,1834928.5714285716,36.6781388324856,33.55200000000001,30.42586116751441,50.16,28.57,0.7605883862979539,0.7659053457485029,Bearish
1171,2019-10-29,34.579372,35.16,33.6285714285715,31.741599999999977,33.03930000000001,37.340650000000075,62.74080317787104,1811476.1904761903,36.345330058264985,33.84750000000001,31.349669941735034,50.16,28.57,0.8151100128874447,0.7757462791762912,Bullish
1172,2019-10-30,34.854828000000005,35.08,33.906190476190545,31.833799999999968,33.00050000000001,37.281350000000074,62.11859557462414,1764571.4285714286,36.051926827901134,34.08400000000001,32.116073172098886,50.16,28.57,0.8421556176183884,0.7890281468647107,Bullish
1173,2019-10-31,34.880775,35.67,34.159523809523876,31.907399999999967,32.96920000000001,37.22155000000007,64.8844624242899,1791285.7142857143,36.07489412351144,34.2745,32.47410587648857,50.16,28.57,0.9008135060244696,0.8113852186966625,Bullish
1174,2019-11-01,35.37464,35.77,34.34571428571435,31.979999999999965,32.93870000000001,37.16280000000007,65.34629812741238,1687738.0952380954,36.261045107709386,34.3905,32.51995489229062,50.16,28.57,0.9444820680973294,0.8380045885767958,Bullish
1175,2019-11-04,35.14277,36.46,34.48904761904768,32.079199999999965,32.91830000000001,37.10805000000007,68.43145027961006,1538619.0476190476,36.51446742802968,34.4575,32.400532571970324,50.16,28.57,1.0229747356119958,0.8749986179838358,Bullish
1176,2019-11-05,35.512924,35.88,34.52523809523816,32.159799999999976,32.89590000000001,37.05245000000007,63.32775614845539,1484571.4285714286,36.60302190070736,34.4855,32.36797809929265,50.16,28.57,1.026546201777478,0.9053081347425642,Bullish
1177,2019-11-06,36.02956,36.17,34.56571428571434,32.260199999999976,32.88900000000001,36.99915000000007,64.74361939477747,1372904.7619047621,36.81768630508732,34.58,32.34231369491268,50.16,28.57,1.0407797299495556,0.9324024537839624,Bullish
1178,2019-11-07,36.378464,36.51,34.67190476190482,32.36779999999997,32.87780000000001,36.94685000000007,66.38238315019419,1263142.857142857,37.07085367829383,34.6815,32.29214632170617,50.16,28.57,1.0671931240450547,0.959360587836181,Bullish
1179,2019-11-08,36.214428000000005,36.29,34.75809523809529,32.499799999999965,32.863200000000006,36.89130000000007,64.29973337667347,1242595.2380952379,37.25701984118583,34.7685,32.279980158814176,50.16,28.57,1.0581757761250683,0.9791236254939584,Bullish
1180,2019-11-11,36.433277000000004,37.0,34.87476190476197,32.62999999999997,32.86400000000001,36.839200000000076,67.80974221210347,1147714.2857142857,37.5445575439943,34.94,32.335442456005694,50.16,28.57,1.095690095833049,1.0024369195617766,Bullish
