,Date,Open,High,Low,Close,Volume,Predicted Price
1267,2018-11-28,58.6087,58.6087,57.4582,57.7869,581000.0,56.767178
1268,2018-11-29,57.9363,58.2277,57.1519,57.7047,861000.0,47.648354
1269,2018-11-30,57.5254,58.0857,56.7783,57.0548,1179500.0,62.96918
1270,2018-12-03,56.4123,56.7036,54.5296,54.5595,5623000.0,64.247574
1271,2018-12-04,55.3215,56.3301,54.9106,56.0611,1391500.0,29.159492
1272,2018-12-05,57.1519,57.1519,55.0302,55.7249,791500.0,9.800131
1273,2018-12-06,55.6577,55.6652,54.1635,54.5595,2681500.0,55.212547
1274,2018-12-07,54.5371,55.7324,54.3503,55.4186,3913500.0,46.599213
1275,2018-12-10,56.0312,56.2554,55.2842,56.0387,1139000.0,60.55764
1276,2018-12-11,56.0163,56.0163,54.8733,55.0152,1046500.0,62.275887
1277,2018-12-12,54.7239,54.9853,53.2372,54.6865,5154000.0,28.610493
1278,2018-12-13,54.6118,55.1347,53.5659,54.0067,1237500.0,9.558721
1279,2018-12-14,54.1635,55.202,54.0216,54.8957,2051000.0,54.083965
1280,2018-12-17,54.6193,54.8957,53.8274,54.0291,741500.0,45.820126
1281,2018-12-18,53.8423,54.4474,53.3866,53.5733,1514500.0,60.006706
1282,2018-12-19,54.1486,54.1486,53.0429,53.7003,1111000.0,60.81539
1283,2018-12-20,53.4165,53.9768,53.4165,53.5285,1062000.0,28.37749
1284,2018-12-21,53.4239,54.1262,53.0429,53.917,1161000.0,9.353726
1285,2018-12-24,53.5808,54.0141,53.2446,53.9544,265000.0,53.03519
1286,2018-12-25,53.5808,54.0141,53.2446,53.9544,265000.0,44.98581
1287,2018-12-26,53.9693,54.3877,53.6032,54.1486,722500.0,59.24323
1288,2018-12-27,53.8348,54.2382,53.3791,53.4613,244000.0,60.432953
1289,2018-12-28,53.2297,53.4165,51.7355,52.124,1030500.0,28.320988
1290,2018-12-31,51.7355,53.0056,51.362,51.5861,808000.0,9.196256
1291,2019-01-01,51.9223,54.1635,51.9223,53.6481,739000.0,51.97449
1292,2019-01-02,53.79,54.9853,53.3791,54.2382,951000.0,44.569702
1293,2019-01-03,54.4624,54.4997,53.2372,53.9469,557500.0,58.540512
1294,2019-01-04,53.8647,54.1635,53.155,53.8049,372000.0,59.88661
1295,2019-01-07,54.4549,56.0312,53.9842,55.9267,2722000.0,28.154509
1296,2019-01-08,56.218,57.2789,55.6577,56.8904,1472500.0,9.572211
1297,2019-01-09,56.7783,57.107,56.0387,56.1583,539500.0,54.687435
1298,2019-01-10,56.2554,56.4048,55.6726,56.0163,577000.0,46.25879
1299,2019-01-11,56.3898,58.2725,56.0312,56.5542,5971500.0,61.09156
1300,2019-01-14,56.9651,57.4806,56.0312,56.2927,1578000.0,62.96632
1301,2019-01-15,56.218,56.2554,55.5158,55.6951,1013000.0,28.86751
1302,2019-01-16,55.6577,56.0312,55.3962,55.4709,568500.0,9.7498865
1303,2019-01-17,55.2916,55.9192,54.5371,55.7324,1570000.0,55.16776
1304,2019-01-18,55.3738,56.0312,55.2842,55.9341,582000.0,46.337807
1305,2019-01-21,55.9864,56.4795,55.32899999999999,55.8445,947000.0,61.312653
1306,2019-01-22,56.0163,56.6289,55.9864,56.1134,1161500.0,62.522263
1307,2019-01-23,56.0686,56.3226,55.1422,55.4336,1031000.0,28.691591
1308,2019-01-24,55.3215,55.3215,53.8647,54.5371,5531000.0,9.694545
1309,2019-01-25,54.9181,55.2842,54.1635,55.0526,1192000.0,54.684505
1310,2019-01-28,55.06,55.2842,54.7239,54.9032,814500.0,45.88386
1311,2019-01-29,54.9106,56.3151,54.6118,56.091,3834500.0,60.68614
1312,2019-01-30,56.3973,56.7335,55.8818,56.5019,752000.0,61.978054
1313,2019-01-31,56.6663,57.1145,55.8818,56.7186,973500.0,28.552973
1314,2019-02-01,56.7186,57.4432,56.487,56.7709,773500.0,9.811761
1315,2019-02-04,56.5617,57.4507,56.5617,56.9651,1026000.0,55.73756
1316,2019-02-05,56.5617,57.4507,56.5617,56.9651,1026000.0,46.765495
1317,2019-02-06,57.1145,58.8328,57.0099,58.0035,4851500.0,62.25647
1318,2019-02-07,58.0484,58.7955,57.8616,58.4518,2657500.0,63.995945
1319,2019-02-08,58.6311,58.8776,56.8007,56.98,9945000.0,29.03086
1320,2019-02-11,56.7783,57.0772,56.0312,56.1657,4045500.0,9.995057
1321,2019-02-12,56.1657,57.1444,56.1657,56.8829,999000.0,56.425854
1322,2019-02-13,56.9651,57.1519,56.4048,56.5243,972500.0,46.9989
1323,2019-02-14,56.6289,56.7783,56.0686,56.2554,418000.0,62.57615
1324,2019-02-15,56.4048,56.7709,56.106,56.6663,720500.0,63.435253
1325,2019-02-18,56.7709,56.7709,55.8818,56.4123,1040500.0,28.869831
1326,2019-02-19,56.3973,56.7036,55.2767,55.3365,1767500.0,9.848781
1327,2019-02-20,55.4709,56.6663,55.1049,56.3973,1172000.0,55.409695
1328,2019-02-21,56.1134,56.5393,55.9192,56.0387,912500.0,46.416885
1329,2019-02-22,56.0238,56.3898,55.8445,55.9565,882000.0,61.669113
