,Unnamed: 0,Date,Predicted Price,Original Price,21 SMA,50 SMA,100 SMA,200 SMA,RSI,21-avg volume,Upper BBand,Middle BBand,Lower BBand,52-week high,52-week low,MACD,MACD Signal,MACD Trend,Score,Close,Label,Diff,RSI change,21 SMA change,Pred
1055,1055,2019-01-15,83.58208499999998,81.5716,82.49253333333351,87.80656199999994,87.55786299999998,90.21650299999986,43.065799760274324,92580.95238095238,85.58367232187702,82.4922149999998,79.40075767812256,121.4221,72.5318,-1.254232176802489,-1.5928050693235298,Bullish,0.0,81.5716,-1.0,0.0,-2.359477459296791,-0.05326190476189652,-1
1056,1056,2019-01-16,81.639114,80.2333,82.3846476190478,87.43087199999992,87.47216799999998,90.03825049999989,39.54681764114481,90661.90476190476,85.64026104884655,82.3975749999998,79.15488895115301,121.4221,72.5318,-1.3261536756386931,-1.5394747905865624,Bullish,-0.5,80.2333,-1.0,-1.0,-3.518982119129511,-0.10788571428571458,-1
1057,1057,2019-01-17,80.97932,81.6194,82.36051904761923,87.1352899999999,87.41030099999998,89.87289499999989,44.59632367672266,87285.71428571429,85.52626596676575,82.30532499999978,79.08438403323382,121.4221,72.5318,-1.2568174861156225,-1.4829433296923744,Bullish,0.0,81.6194,1.0,0.0,5.049506035577849,-0.024128571428562395,1
1058,1058,2019-01-18,81.65133,80.6157,82.22486666666684,86.82154599999994,87.334677,89.71094449999987,41.869119816336884,83961.90476190476,85.36336595792474,82.1437699999998,78.92417404207484,121.4221,72.5318,-1.268238790778554,-1.4400024219096104,Bullish,0.0,80.6157,-1.0,0.0,-2.727203860385778,-0.13565238095239351,-1
1059,1059,2019-01-21,81.13802,79.4112,82.01364761904779,86.49919799999992,87.27234800000002,89.54707799999987,38.80246153758464,85161.90476190476,85.17158596671717,81.9000049999998,78.6284240332824,121.4221,72.5318,-1.358819712770554,-1.4237658800817992,Bullish,0.0,79.4112,-1.0,0.0,-3.066658278752243,-0.2112190476190534,-1
1060,1060,2019-01-22,80.52356,79.9083,81.8051619047621,86.21489799999992,87.179682,89.39454099999986,40.731828014212326,86666.66666666669,84.86948985537505,81.6810949999998,78.49270014462456,121.4221,72.5318,-1.3746478458096334,-1.4139422732273659,Bullish,0.16666666666666666,79.9083,0.0,0.0,1.9293664766276848,-0.20848571428568619,1
1061,1061,2019-01-23,81.21703000000002,79.8987,81.59621904761924,85.8975199999999,87.10734699999998,89.24297399999986,40.70513840816828,94080.95238095238,84.26585588270737,81.4182049999998,78.57055411729223,121.4221,72.5318,-1.3721491141928508,-1.405583641420463,Bullish,0.0,79.8987,0.0,0.0,-0.026689606044044467,-0.20894285714285843,0
1062,1062,2019-01-24,79.66277,79.9465,81.348123809524,85.5587299999999,87.059496,89.09196199999985,40.912746088292735,97447.61904761904,83.97717898457876,81.2380049999998,78.4988310154208,118.1651,72.5318,-1.3507412861262225,-1.3946151703616152,Bullish,0.0,79.9465,0.0,-1.0,0.20760768012445396,-0.24809523809524592,0
1063,1063,2019-01-25,79.62164,80.6157,81.20837142857161,85.2174539999999,87.036307,88.94826199999984,43.87547394905794,96385.71428571428,83.97725200369341,81.23895999999979,78.50066799630619,118.137,72.5318,-1.2651922323859708,-1.3687305827664862,Bullish,-0.2,80.6157,0.0,0.0,2.962727860765206,-0.1397523809523875,1
1064,1064,2019-01-28,80.39094,80.4627,81.20199523809542,84.8843979999999,87.012711,88.80351599999986,43.340403353007325,94871.42857142855,83.96132480589971,81.2021549999998,78.44298519409989,117.6878,72.5318,-1.195953603587938,-1.3341751869307763,Bullish,0.0,80.4627,0.0,0.0,-0.5350705960506161,-0.006376190476188981,0
