Date,Predicted Price,Original Price,21 SMA,RSI,Upper BBand,Middle BBand,Lower BBand,MACD,MACD Signal,Score,Signal,Open,High,Low,Close,Volume
2019-08-29,31.630867,37.3711,36.92497619047625,47.874539048432474,38.217314640362865,36.944085000000015,35.67085535963716,-0.4660538492804917,-0.6918075384169903,-1,0.0,37.3711,37.6091,37.2759,37.3711,3000
2019-08-30,31.561514000000006,37.3711,36.9644190476191,47.874539048432474,38.25879745556021,36.97836000000001,35.69792254443982,-0.4134541608275697,-0.6361368628991062,-1,0.0,37.3711,37.6091,37.2759,37.3711,3000
2019-09-02,31.597218,38.4565,37.04874761904768,55.57996002789323,38.48238038787769,37.08261500000001,35.682849612122325,-0.2809472349932065,-0.5650989373179263,1,1.0,37.3235,38.4946,37.3235,38.4565,6500
2019-09-03,31.851736,38.0852,37.130357142857214,52.70947699052657,38.53790386092953,37.09927500000001,35.6606461390705,-0.2035489627868756,-0.4927889424117161,-1,-1.0,38.4565,38.4661,37.8472,38.0852,3000
2019-09-04,32.133118,39.9895,37.236904761904825,63.205311733274826,39.12654205944872,37.21972000000001,35.31289794055129,0.0113203269791952,-0.3919670885335338,0,1.0,38.228,39.9895,38.228,39.9895,14500
2019-09-05,32.56712,39.3515,37.321233333333396,58.51921396068822,39.455229316668856,37.342545000000015,35.22986068333117,0.1286416186537025,-0.2878453470960865,1,-1.0,40.894,40.894,39.2754,39.3515,10000
2019-09-06,33.00542,39.9895,37.46859047619053,61.5863172169261,39.88817383026165,37.50917000000001,35.13016616973837,0.2699885951091829,-0.1762785586550326,0,1.0,39.7514,40.4655,39.7514,39.9895,4000
2019-09-09,33.34659,39.9895,37.62728095238101,61.5863172169261,40.25140605408046,37.67579500000001,35.100183945919554,0.3776537351229194,-0.0654920998994422,-1,0.0,39.7514,40.4655,39.7514,39.9895,4000
2019-09-10,33.615665,39.9895,37.78597142857149,61.5863172169261,40.56009809984931,37.84242000000001,35.12474190015071,0.4577030187790001,0.0391469238362462,0,0.0,39.7514,40.4655,39.7514,39.9895,4000
2019-09-11,33.79845,38.9421,37.894785714285774,53.47845738742954,40.657484608155215,37.956675,35.2558653918448,0.4316504288368534,0.1176476248363676,-1,-1.0,40.4655,40.4655,38.9421,38.9421,401
2019-09-12,33.661522,39.799,38.044404761904815,58.3136933507987,40.859071370067056,38.113775,35.36847862993295,0.4746764574709416,0.1890533913632824,-1,1.0,39.799,39.799,39.799,39.799,500
2019-09-13,33.60365,40.3227,38.218961904761954,60.982747382704275,41.016508103384254,38.344665000000006,35.67282189661576,0.5447535288227671,0.2601934188551794,0,1.0,39.9895,40.4655,39.9895,40.3227,3000
2019-09-16,33.70463,39.9895,38.42299047619053,58.419848479764525,41.146011430176905,38.51700000000001,35.887988569823115,0.5668691428012806,0.3215285636443996,0,-1.0,40.4655,40.4655,39.9895,39.9895,4000
2019-09-17,33.7881,39.9895,38.5871190476191,58.41984847976451,41.224997365253856,38.690765000000006,36.15653263474617,0.5777361435787398,0.3727700796312677,-1,0.0,40.4655,40.4655,39.9895,39.9895,4000
2019-09-18,33.837709999999994,39.9799,38.75215238095244,58.33792449463875,41.29851771561652,38.844530000000034,36.39054228438352,0.5789004758849643,0.413996158882007,1,0.0,40.0371,40.0371,39.9799,39.9799,10500
2019-09-19,33.916637,40.4179,38.91945238095244,61.02352126283316,41.47527011328675,38.928315000000026,36.38135988671329,0.6081557165706428,0.4528280704197341,-1,1.0,39.9895,40.4179,39.9895,40.4179,1500
2019-09-20,33.983395,39.9799,38.978390476190526,57.06225941503623,41.56000080067913,39.04495000000002,36.52989919932091,0.5892057687708601,0.4801036100899593,0,-1.0,39.8943,39.9895,39.8943,39.9799,3500
2019-09-23,33.987762,39.0945,39.0473095238096,49.99696848723658,41.5002358548588,39.14302000000002,36.78580414514124,0.4970141484858956,0.4834857177691466,1,-1.0,39.5134,39.5134,39.0564,39.0945,4000
2019-09-24,33.814705,39.0373,39.137985714285776,49.569955767760455,41.27768548372101,39.27346000000002,37.26923451627904,0.4145573046901489,0.4697000351533471,-1,0.0,38.5708,39.0373,38.5613,39.0373,3500
2019-09-25,33.57069,38.7517,39.248614285714346,47.39343802586919,41.158843576542495,39.344870000000036,37.53089642345756,0.3224471586428805,0.4402494598512537,1,-1.0,38.6565,38.7612,38.5803,38.7517,5000
2019-09-26,33.31968,39.2754,39.34156190476197,51.59083749910259,41.01363136572795,39.440085000000025,37.866538634272096,0.2883831164845531,0.4098761911779136,1,1.0,39.0373,39.2754,39.0373,39.2754,1000
2019-09-27,33.16714,40.2275,39.47758095238103,58.131379125520496,40.87221591901649,39.582905000000025,38.29359408098356,0.334359344235331,0.3947728217893971,-1,1.0,39.1326,40.2275,39.0373,40.2275,7500
2019-09-30,33.319477,38.8183,39.5464952380953,47.83066534931819,40.83557191939216,39.600995000000026,38.36641808060789,0.2541554275815514,0.3666493429478279,1,-1.0,39.7514,39.8943,38.3708,38.8183,21000
2019-10-01,33.36992,37.9043,39.520200000000074,42.56268706671175,40.872606398099606,39.59195000000003,38.311293601900466,0.1155095620826429,0.31642138677479104,0,-1.0,38.9326,39.0373,37.6567,37.9043,6500
2019-10-02,33.1046,37.99,39.515666666666725,43.19444063556786,40.93479874789671,39.49197500000003,38.04915125210336,0.0124040029358383,0.2556179100070004,-1,0.0,37.1426,37.99,37.1426,37.99,4500
2019-10-03,32.813,37.2092,39.383271428571504,38.987008072640336,41.138174452571114,39.38486000000003,37.63154554742896,-0.1308041018422656,0.1783335076371472,0,-1.0,38.0852,38.3613,36.6856,37.2092,38000
2019-10-04,32.415490000000005,38.0852,39.3229714285715,45.411508833542825,41.106937849789354,39.289645000000036,37.47235215021071,-0.1716331970177975,0.1083401667061582,1,1.0,37.1331,38.3232,37.1331,38.0852,7000
2019-10-07,32.14393,38.9231,39.272190476190545,50.75307872815568,41.03078671747849,39.236325000000036,37.441863282521574,-0.1348248448388815,0.0597071643971503,-1,1.0,38.3232,39.5134,38.3232,38.9231,515
2019-10-08,32.287045,38.3423,39.19375238095245,47.298209404331246,40.953787713796174,39.153965000000035,37.35414228620389,-0.1507815507404259,0.017609421369635,1,-1.0,38.3423,39.0373,38.3423,38.3423,8500
2019-10-09,32.453903000000004,38.2661,39.11168571428578,46.84763147074087,40.9595876097054,39.120165000000036,37.28074239029465,-0.1676435676064187,-0.0194411764255757,0,0.0,38.5613,38.5613,38.0852,38.2661,8500
2019-10-10,32.512524,38.4089,39.086295238095296,47.85024919145632,40.887278617349104,39.050660000000036,37.21404138265097,-0.1675526284831221,-0.049063466837085,0,0.0,38.5613,38.8183,38.0852,38.4089,22500
2019-10-11,32.597992,38.2756,39.013752380952454,46.9597668500057,40.7168604019868,38.948305000000026,37.179749598013245,-0.1762055664522392,-0.0744918867601158,0,0.0,38.5613,38.6565,38.2756,38.2756,25500
2019-10-14,32.58371,38.2756,38.9162714285715,46.9597668500057,40.58658873408993,38.86261000000003,37.138631265910135,-0.1809768931636313,-0.0957888880408189,1,0.0,38.5041,38.5518,38.2756,38.2756,10000
2019-10-15,32.519397999999995,38.5803,38.849166666666726,49.45346656550568,40.43963529644308,38.792150000000035,37.14466470355698,-0.1583461446535992,-0.1083003393633749,-1,0.0,38.5137,39.0373,38.2756,38.5803,25500
2019-10-16,32.558987,38.228,38.765285714285774,46.71849718927226,40.274592992501454,38.70455500000002,37.134517007498594,-0.1669146904687721,-0.1200232095844544,0,-1.0,38.6565,38.6565,38.1804,38.228,16500
