20Nov2020,HGFA,806,HBL Growth Fund,8,8.2,7.99,8.09,19000,8.55
20Nov2020,HIFA,806,HBL Invest Fund,3.08,3.12,3.08,3.12,4500,3.06
20Nov2020,SINDM,819,Sindh Modaraba,8.42,8.42,8.4,8.4,8000,8.64
20Nov2020,TSMF,806,Tri-Star Mutual,4.3,4.65,4.1,4.18,5500,4.01
20Nov2020,BRR,819,B.R.R.Guardian,11.42,11.48,11.41,11.48,2000,11.14
20Nov2020,FECM,819,Elite Cap.Mod,3.26,3.26,3.12,3.14,1500,3.1
20Nov2020,FEM,819,Equity Modaraba,2.7,2.7,2.6,2.61,21000,2.96
20Nov2020,FFLM,819,1st.Fid.Leasing,3.25,3.25,3.25,3.25,500,3.5
20Nov2020,ORIXM,819,Orix ModarabaXD,17.69,17.7,17.69,17.7,1000,17.01
20Nov2020,FHAM,819,Habib Modaraba,9.77,10.1,9.75,9.9,140500,9.78
20Nov2020,PIM,819,Popular Islamic,6,6,5,5,2000,5.65
20Nov2020,KASBM,819,KASB Mod,1,1,1,1,1000,1.05
20Nov2020,MODAM,819,Mod.Al-Mali,4.09,4.09,4,4,7500,3.8
20Nov2020,PAKMI,819,Pak Mod.,1.75,1.75,1.74,1.74,25500,1.84
20Nov2020,FPRM,819,Paramount Mod,5.85,5.85,5.7,5.7,1500,5.43
20Nov2020,PMI,819,Prud Mod.1st,1.17,1.17,1.14,1.14,6500,1.17
20Nov2020,FPJM,819,Punjab Mod,2.1,2.2,2.1,2.2,2000,2.2
20Nov2020,FUDLM,819,U.D.L.Modaraba,7.6,7.6,7.4,7.4,10500,7.4
20Nov2020,OLPL,815,Orix Leasing,25.45,25.8,25.45,25.8,1500,25.85
20Nov2020,SLL,815,SME Leasing Ltd,3.1,3.59,3.1,3.59,3000,3.55
20Nov2020,SPLC,815,Saudi Pak Leasi,1.48,1.48,1.29,1.3,2500,1.3
20Nov2020,MCBAH,813,MCB-ARIF Habib,35.03,35.03,30.4,32.38,13000,32.69
20Nov2020,AHL,813,Arif Habib Ltd.,51.69,52,50.4,52,28000,51.62
20Nov2020,ICIBL,813,Invest Bank,0.99,0.99,0.93,0.93,67500,0.99
20Nov2020,FDIBL,813,Ist.Dawood Bank,1.99,2.04,1.94,1.98,43000,1.96
20Nov2020,JSCL,813,Jah.Sidd. Co.,23.75,24.15,23.14,23.21,2376500,23.56
20Nov2020,BIPLS,813,BIPL Securities,11.25,11.35,10,11.35,131000,10.35
20Nov2020,NEXT,813,Next Capital,9.3,9.35,8.78,8.88,5500,9.12
20Nov2020,ESBL,813,Escorts Bank,10,10.34,9.93,9.94,77000,10.05
20Nov2020,PSX,813,Pak Stock Exchange,12.95,12.95,12.75,12.84,34500,12.94
20Nov2020,FCSC,813,Ist.Capital Sec,1.15,1.39,1.11,1.23,539500,1.06
20Nov2020,FCIBL,813,F.Credit & Inv,7.65,7.65,7.03,7.05,7000,8
20Nov2020,EFGH,813,EFG Hermes Pak,21.01,22.99,21,21.46,13500,21.99
20Nov2020,FNEL,813,F. Nat.Equities,14.49,14.5,13.91,14.01,514000,14.53
20Nov2020,JSIL,813,JS Investments,20,20.24,19.75,19.75,16500,20.61
20Nov2020,JSGCL,813,JS Global Cap.,0,59.99,59.99,60.06,500,60.06
20Nov2020,786,813,786 Invest Ltd,11.55,11.65,11.2,11.65,19000,11.8
20Nov2020,DEL,813,Dawood Equities,5.1,5.1,5.1,5.1,1500,5.45
20Nov2020,PASL,813,Pervez Ahmed Co,0.83,0.85,0.79,0.8,203500,0.81
20Nov2020,ABL,807,Allied Bank Ltd,84.05,84.56,83.6,84.01,99500,84.5
20Nov2020,SMBL,807,Summit Bank,2.07,2.07,2,2,429500,2.03
20Nov2020,AKBL,807,Askari Bank,18.6,18.74,18.57,18.63,42500,18.69
20Nov2020,BAFL,807,Bank Al-FalahXD,34.5,34.8,33.02,33.46,913000,34.58
20Nov2020,BIPL,807,Bankislami Pak.,10,10.1,9.9,10.05,1938000,9.86
20Nov2020,BOK,807,Bank Of Khyber,13.6,13.6,12.51,12.51,53500,13.39
20Nov2020,BAHL,807,Bank AL-Habib,67.5,68.1,67.49,67.68,518004,68.01
20Nov2020,BOP,807,B.O.Punjab,9,9.07,8.8,8.82,2947000,9
20Nov2020,FABL,807,Faysal Bank,17.2,17.2,16.51,16.73,269500,16.99
20Nov2020,HBL,807,Habib Bank,131,131.83,129.75,130.34,1778387,131.42
20Nov2020,MEBL,807,Meezan BankXD,92,92,90.5,91.22,1132477,91.46
20Nov2020,NBP,807,National Bank,39.1,39.47,38.72,39,66500,39.05
20Nov2020,HMB,807,Habib Metropol.,36.61,36.85,36.5,36.56,8000,36.65
20Nov2020,MCB,807,MCB Bank Ltd,177.98,178,174,174.73,215029,175.76
20Nov2020,JSBL,807,JS Bank Ltd,6.16,6.16,6.12,6.12,49000,6.23
20Nov2020,SBL,807,Samba Bank,7.06,7.2,7.02,7.03,6500,7.3
20Nov2020,SILK,807,Silk Bank Ltd,0.97,0.98,0.91,0.92,1073000,0.94
20Nov2020,SNBL,807,Soneri Bank Ltd,9.95,10.05,9.75,9.79,5212000,9.91
20Nov2020,SCBPL,807,St.Chart.Bank,35.05,36.8,35.05,36.01,31000,35.66
20Nov2020,UBL,807,United Bank,121.26,122.49,118.55,119.4,1046230,121.97
20Nov2020,AICL,812,Adamjee Ins.,36.95,37.35,36.1,37.18,228000,36.56
20Nov2020,IGIL,812,IGI Life Ins,62.16,63.01,62,63,15500,63.37
20Nov2020,AGIC,812,Ask.Gen.Insur.,23,23,23,23,1000,23.5
20Nov2020,CYAN,812,Cyan Limited,30,30.44,30,30,1500,29.89
20Nov2020,JLICL,812,Jubile Life Ins,382,390,382,385,600,386
20Nov2020,CSIL,812,Cres.Star Ins.,2.63,2.7,2.54,2.69,36500,2.6
20Nov2020,EFUG,812,EFU General,117.98,117.98,115.5,115.5,700,115.51
20Nov2020,EFUL,812,EFU Life Assr,204,204,204,195,100,195
20Nov2020,EWIC,812,East West Ins.,0,57,57,57,0,56
20Nov2020,HICL,812,Habib Ins.,8.4,8.6,8.4,8.6,1500,8.6
20Nov2020,IGIHL,812,IGI Holdings,197.9,198,197.9,198,1000,197.11
20Nov2020,ALAC,812,Askari Life Ass,7.8,7.8,7.8,7.8,500,7.36
20Nov2020,JGICL,812,Jubilee Gen.Ins,44.8,44.8,44.6,44.6,6500,45
20Nov2020,PIL,812,PICIC Ins.Ltd.,1.68,1.83,1.35,1.55,227500,1.6
20Nov2020,PAKRI,812,Pak Reinsurance,25.4,25.4,24.55,24.71,25000,25.01
20Nov2020,PINL,812,Premier Ins.,4.5,4.5,4.5,4.5,16500,5
20Nov2020,RICL,812,Reliance Ins.,7.01,7.01,7.01,7.01,500,7.53
20Nov2020,TPLI,812,TPL Insurance,28.8,28.8,28.8,28.8,500,28.25
20Nov2020,ASTM,830,Asim Textile,8.8,8.9,8.7,8.71,14500,8.7
20Nov2020,BILF,830,Bilal Fibres,1.6,1.6,1.5,1.5,28500,1.59
20Nov2020,CWSM,830,Chakwal Spinning,1.95,2.02,1.95,1.99,33500,2.1
20Nov2020,HIRAT,830,Hira Textile,2.8,2.9,2.8,2.85,21500,2.82
20Nov2020,DFSM,830,Dewan Farooque Sp.,2.08,2.13,1.95,2.08,11500,1.99
20Nov2020,DSIL,830,D.S. Ind. Ltd.,2.26,2.29,2.22,2.24,73500,2.3
20Nov2020,FZCM,830,Fazal Cloth,129.49,129.49,129.49,129.49,600,139.98
20Nov2020,GADT,830,Gadoon Textile,195,195,190,190.39,19700,193.26
20Nov2020,IDYM,830,Indus Dyeing,507.01,520.11,507.01,520.11,100,540
20Nov2020,JATM,830,J.A.Textile,8.7,8.7,8.4,8.4,1500,7.99
20Nov2020,JKSM,830,J.K.SpinningXB,36.2,36.2,35.1,35.11,2500,35.98
20Nov2020,JDMT,830,Janana D Mal,79.45,84.5,79.45,82.92,11500,85.89
20Nov2020,KOSM,830,Kohinoor Spining,3.71,3.85,3.69,3.72,1015000,3.79
20Nov2020,MQTM,830,Maqbool Textile,22.67,22.67,22.67,22.67,5000,23.66
