Date,News,Polarity,Sentiment,neg,neu,pos,compound,Cum
18 04 2013,Alavi chairs meeting about Polio eradication programme - KARACHI: Caretaker Chief Minister of Sindh Justice (Retd) Zahid Kurban Alavi Thursday had a meeting with  Secretary Gene,1,1,0.0,0.871,0.129,0.5267,1
18 04 2013,SC directs chairman CDA for taking personal interest in restoring agro-farms status - ISLAMABAD: The Supreme Court Thursday took serious notice of the agro-farm land being used for the commercial and reside,1,1,0.035,0.728,0.237,0.8176,1
18 04 2013,"JI wants seat adjustment in national interest: Baloch - LAHORE: Secretary General, Jamaat e Islami (JI), Liaqat Baloch said the JI's desire for seat adjustment did not mean",1,1,0.0,0.808,0.192,0.6908,1
18 04 2013,Lahore Stock Exchange up by 31.33 points - LAHORE: Lahore Stock Exchange on Thursday witnessed bullish trend by gaining 31.33 points as the LSE-25 Index opened wit,1,1,0.0,0.899,0.101,0.4215,1
18 04 2013,ANP struggling for peace in country: Haji Adeel - ISLAMABAD: Awami National Party (ANP) Senator Haji Adeel on Thursday said that his party is struggling for peace in the,1,1,0.14,0.55,0.31,0.7783,1
18 04 2013,SC seeks details of funds to media houses - ISLAMABAD: The Supreme Court on Thursday sought details of summaries approved by the federal government ministries from,1,1,0.0,0.782,0.218,0.7506,1
18 04 2013,LCCI delegation visits UK to explore business opportunities - ISLAMABAD: A delegation of Lahore Chamber of Commerce and Industry (LCCI) comprising 14 Pakistani companies from paper a,1,1,0.0,0.898,0.102,0.3818,1
18 04 2013,"LHC adjourns Sharif family cases till 24th - LAHORE: Justice Sheikh Najamul Hassan, of the Lahore High Court has adjourned the Sharif family cases for April 24.Accor",1,1,0.0,0.88,0.12,0.5267,1
18 04 2013,President appoints Justice Shahzado Sheikh as Alim Judge in FST - ISLAMABAD: President Asif Ali Zardari Thursday approved the appointment of Justice Shahzado Sheikh as Alim Judge in the,1,1,0.0,0.723,0.277,0.8625,1
18 04 2013,"Musharraf seeks justice from apex court - ISLAMABAD: Former president and President All Pakistan Muslim League (APML) chief, General (R) Pervez Musharraf claimed",1,1,0.0,0.861,0.139,0.5267,1
18 04 2013,"RECORDER REPORT: KSE mid day update - KARACHI: On Thursday, until mid day, KSE-100 Index was at 18540.09 with a positive change of 145.97 and volume of 36,577",1,1,0.0,0.874,0.126,0.5574,1
19 04 2013,"PM directs early completion of projects in Balochistan - ISLAMABAD: Prime Minister, Justice (Retd) Mir Hazar Khan Khoso on Friday directed that priority should be given to early",1,1,0.0,0.884,0.116,0.5267,1
