Date,News,Polarity,Sentiment,neg,neu,pos,compound,Cum
20 06 2013,"Shah Shams, Musa Pak trains to be restored - MULTAN:-Divisional Superintendent (DS) Railways Mohammad Ali Rajpur Thursday said that two local trains Shah Shams and M",1,1,0.0,0.906,0.094,0.34,1
25 06 2013,"Sapna Khan case: LHC summons SP CIA - LAHORE: A division bench of the Lahore High Court on Tuesday summoned SP, Organised Crime, CIA Umar Virk for July 9 on a",-1,-1,0.119,0.881,0.0,-0.5423,-1
25 06 2013,SC takes note of ignoring police jawans for Foundation's plots - ISLAMABAD: The Supreme Court on Tuesday expressed dissatisfaction over discriminatory allotments of residential plots in,-1,-1,0.187,0.698,0.114,-0.3182,-1
02 07 2013,Shahbaz vows to phase out energy crisis - LAHORE: Chief Minister Shahbaz Sharif Tuesday said the PML-N led government would honour its promise to phase out the en,1,1,0.116,0.653,0.23,0.4588,1
02 07 2013,PM for better coordination among security forces - QUETTA: Prime Minister Muhammad Nawaz Sharif on Tuesday stressed the need for better coordination among the security for,1,1,0.073,0.606,0.321,0.802,1
02 07 2013,Heavy buying helps stock market cross three barriers - KARACHI: The Karachi Stock market on Friday experienced intense buying and its benchmark 100-index crossed three upper b,1,1,0.0,0.855,0.145,0.4404,1
02 07 2013,LSE striving to promote investment - LAHORE: LSE is proactively encouraging the unlisted companies to get listed on the stock exchange under the capital rais,1,1,0.0,0.786,0.214,0.7184,1
02 07 2013,Lahore Stock Exchange gains 110.42 points - LAHORE: Lahore Stock Exchange on Tuesday witnessed bullish trend by gaining 110.42 points as the LSE-25 Index opened wit,1,1,0.0,0.816,0.184,0.6369,1
02 07 2013,Govt urged to allay beverage industry's concerns - LAHORE: Lahore chamber of Commerce & Industry here on Tuesday called upon the government to provide an opportunity t,1,1,0.0,0.891,0.109,0.4215,1
02 07 2013,"Commercial, economic opportunities with Nigeria: Agar - KARACHI: There are immense opportunities of commercial and economic cooperation between Pakistan and Nigeria and a keen",1,1,0.0,0.712,0.288,0.7717,1
16 07 2013,Lahore Stock Exchange gains 29.27 points - LAHORE: Lahore Stock Exchange on Tuesday witnessed bullish trend by gaining 29.27 points as LSE-25 Index opened with 495,1,1,0.0,0.816,0.184,0.6369,1
