,Close
1918,8.402393341064453
1919,8.133191108703613
1920,7.824034690856934
1921,7.496308326721191
1922,7.150476932525635
1923,6.770698547363281
1924,6.462790489196777
1925,6.150960922241211
1926,5.843719959259033
1927,5.544239044189453
1928,5.255189418792725
1929,4.980751991271973
1930,4.715183734893799
1931,4.460564613342285
