,Unnamed: 0,Unnamed: 0.1,Date,Open,High,Low,Close,Volume,Predicted Price,21 SMA,50 SMA,100 SMA,200 SMA,RSI,Upper BBand,Middle BBand,Lower BBand,MACD,MACD Signal,MACD Trend,52-week high,52-week low,21-avg volume,First Resistance,Second Resistance,Third Resistance,First Support,Second Support,Third Support,Score,Label,Diff,RSI change,21 SMA change,Pred
1006,1106,4824,2019-07-01,59.0002,59.0002,59.0002,59.0002,2000,59.140724,59.00020000000006,58.68553199999993,59.19214300000034,59.161690000000036,58.32116986973188,59.000205560829066,59.00020000000001,59.000194439170954,0.0634795301304222,0.0820146642490178,Bearish,66.038,52.5101,3214.285714285714,59.0002,59.0002,59.0002,59.0002,59.0002,59.0002,1,0.0,0.0,0.0,0.0,0
1007,1107,4825,2019-07-02,59.0002,59.0002,59.0002,59.0002,2000,59.140724,59.00020000000006,58.68553199999993,59.14297700000034,59.15739350000004,58.32116986973188,59.000205560829066,59.00020000000001,59.000194439170954,0.0592792766197973,0.0774675867231737,Bearish,66.038,52.5101,3285.714285714286,59.0002,59.0002,59.0002,59.0002,59.0002,59.0002,0,0.0,0.0,0.0,0.0,0
1008,1108,4826,2019-07-03,59.0002,59.0002,59.0002,59.0002,2000,59.140724,59.00020000000006,58.68553199999993,59.09381100000034,59.153097000000045,58.32116986973188,59.000205560829066,59.00020000000001,59.000194439170954,0.0553129323978538,0.0730366558581097,Bearish,66.038,52.5101,3357.142857142857,59.0002,59.0002,59.0002,59.0002,59.0002,59.0002,1,0.0,0.0,0.0,0.0,0
1009,1109,4827,2019-07-04,59.0002,59.0002,59.0002,59.0002,2000,59.140724,59.00020000000006,58.68553199999993,59.043661000000355,59.148800500000036,58.32116986973187,59.000205560829066,59.00020000000001,59.000194439170954,0.0515750509430859,0.06874433487510499,Bearish,66.038,52.5101,3428.5714285714284,59.0002,59.0002,59.0002,59.0002,59.0002,59.0002,1,0.0,0.0,-1.4210854715202004e-14,0.0,0
1010,1110,4828,2019-07-05,59.0002,59.0002,59.0002,59.0002,2000,59.140724,59.00020000000006,58.68553199999993,58.99341300000035,59.14450400000004,58.32116986973187,59.000205560829066,59.00020000000001,59.000194439170954,0.0480587614734702,0.06460722019477799,Bearish,66.038,52.5101,3500.0,59.0002,59.0002,59.0002,59.0002,59.0002,59.0002,1,0.0,0.0,0.0,0.0,0
1011,1111,4829,2019-07-08,59.0002,59.0002,59.0002,59.0002,2000,59.140724,59.00020000000006,58.68553199999993,58.94424700000036,59.140207500000045,58.32116986973188,59.000205560829066,59.00020000000001,59.000194439170954,0.0447561556329105,0.0606370072824045,Bearish,66.038,52.5101,3571.4285714285716,59.0002,59.0002,59.0002,59.0002,59.0002,59.0002,-1,0.0,0.0,1.4210854715202004e-14,0.0,0
1012,1112,4830,2019-07-09,59.0002,59.0002,59.0002,59.0002,25000,59.140724,59.00020000000006,58.68553199999993,58.90275100000037,59.135911000000036,58.32116986973188,59.000205560829066,59.00020000000001,59.000194439170954,0.041658602274829,0.0568413262808894,Bearish,66.038,52.5101,3642.857142857143,59.0002,59.0002,59.0002,59.0002,59.0002,59.0002,1,0.0,0.0,0.0,0.0,0
1013,1113,4831,2019-07-10,59.0002,59.0002,59.0002,59.0002,25000,59.140724,59.00020000000006,58.68553199999993,58.87826600000037,59.13161450000004,58.32116986973188,59.000205560829066,59.00020000000001,59.000194439170954,0.0387570023244805,0.0532244614896076,Bearish,66.038,52.5101,4809.523809523809,59.0002,59.0002,59.0002,59.0002,59.0002,59.0002,1,0.0,0.0,0.0,0.0,0
1014,1114,4832,2019-07-11,59.0002,59.0002,59.0002,59.0002,25000,59.140724,59.00020000000006,58.68553199999993,58.87826600000037,59.12731800000004,58.32116986973188,59.000205560829066,59.00020000000001,59.000194439170954,0.0360419937898868,0.0497879679496635,Bearish,66.038,52.5101,5976.190476190476,59.0002,59.0002,59.0002,59.0002,59.0002,59.0002,0,0.0,0.0,0.0,0.0,0
1015,1115,4833,2019-07-12,59.0002,59.0002,59.0002,59.0002,25000,59.140724,59.00020000000006,58.68553199999993,58.87826600000037,59.123021500000036,58.3211698697319,59.000205560829066,59.00020000000001,59.000194439170954,0.0335041153791308,0.0465311974355569,Bearish,66.038,52.5101,7142.857142857143,59.0002,59.0002,59.0002,59.0002,59.0002,59.0002,-1,0.0,0.0,1.4210854715202004e-14,0.0,0
1016,1116,4834,2019-07-15,59.0002,59.0002,59.0002,59.0002,25000,59.140724,59.00020000000006,58.68553199999993,58.87826600000037,59.130651000000036,58.3211698697319,59.000205560829066,59.00020000000001,59.000194439170954,0.0311339358222255,0.0434517451128907,Bearish,66.038,52.5101,8309.52380952381,59.0002,59.0002,59.0002,59.0002,59.0002,59.0002,-1,0.0,0.0,0.0,0.0,0
