Unnamed: 0,Date,Predicted Price,Original Price,21 SMA,50 SMA,100 SMA,200 SMA,RSI,21-avg volume,Upper BBand,Middle BBand,Lower BBand,52-week high,52-week low,MACD,MACD Signal,MACD Trend,Score
196,2018-09-26,234.92323,227.2988,237.12208571428437,243.15742600000004,255.84413900000015,244.72697449999907,22.023219762411014,533.3333333333334,245.22465905060105,237.0402249999996,228.85579094939808,284.1140000000001,191.641,-3.652856651497615,-2.8254020786504723,Bearish,-0.16666666666666666
197,2018-09-27,231.05344,227.2988,236.57634761904626,242.65889600000008,255.63403100000028,244.86319599999908,22.023219762411014,619.047619047619,245.6356000000644,236.4671999999996,227.2987999999348,284.1140000000001,191.641,-3.945048743528673,-3.0493314116261123,Bearish,0.0
198,2018-09-28,231.4696,227.2988,236.0306095238081,242.16036600000007,255.32870500000027,244.99941749999908,22.023219762411014,728.5714285714287,245.81925914013146,235.8941749999996,225.96909085986763,284.1140000000001,191.641,-4.129016351319052,-3.2652683995647003,Bearish,-0.5
199,2018-10-01,230.65869,227.2988,235.48487142857002,241.66183600000008,255.02337900000026,245.13563899999906,22.023219762411017,838.0952380952382,245.8248717504651,235.3211499999996,224.817428249534,284.1140000000001,191.641,-4.226096199572851,-3.4574339595663304,Bearish,-0.058823529411764705
200,2018-10-02,228.65262,227.2988,234.9391333333319,241.41448000000008,254.58921900000027,245.27186049999904,22.023219762411014,947.6190476190477,245.6807452178948,234.7481249999996,223.81550478210426,284.1140000000001,191.641,-4.253995269292233,-3.616746221511512,Bearish,0.0
201,2018-10-03,217.6227,227.2988,234.3933952380938,241.1671240000001,254.02584200000027,245.40808199999904,22.023219762411014,1057.142857142857,245.40405087892086,234.1750999999996,222.94614912107812,284.1140000000001,191.641,-4.227374936231429,-3.7388719644554937,Bearish,-0.5
202,2018-10-04,226.84122,215.9339,233.30647142857003,240.69247000000007,253.37837300000027,245.4874789999991,11.958995387416318,1166.6666666666667,246.5698798872308,233.03382999999957,219.49778011276828,284.1140000000001,191.641,-5.064945046383457,-4.004086580841086,Bearish,0.0
203,2018-10-05,224.37796,215.9339,232.21954761904618,239.97829400000006,252.73090400000027,245.60894349999907,11.95899538741632,1180.952380952381,247.05633187756385,231.89255999999958,216.7287881224353,284.1140000000001,191.641,-5.6634407731819465,-4.335957419309258,Bearish,0.0
204,2018-10-08,222.26096,215.9339,231.13262380952239,239.264118,252.0834350000003,245.73040799999907,11.95899538741632,1195.2380952380952,247.0680093656313,230.75128999999959,214.43457063436776,284.1140000000001,191.641,-6.06780704605049,-4.682327344657504,Bearish,0.5
205,2018-10-09,220.54854,215.9339,230.04569999999862,238.54994200000004,251.4359660000003,245.80396199999907,11.95899538741632,1209.5238095238094,246.70126648630267,229.6100199999996,212.51877351369643,284.1140000000001,191.641,-6.3154694302517385,-5.008955761776352,Bearish,0.0
206,2018-10-10,219.42941,215.9339,228.95877619047482,237.59700600000005,250.82579300000032,245.87751599999908,11.95899538741632,1204.7619047619048,246.0063126684865,228.46874999999957,210.93118733151263,284.1140000000001,191.641,-6.4375357491530005,-5.2946717592516785,Bearish,0.0
207,2018-10-11,206.72914,205.142,227.35795238095105,236.42823200000004,250.1077010000003,245.89711049999906,7.343239048140013,1200.0,246.3815892187069,226.7878849999996,207.19418078129226,284.1140000000001,191.641,-7.320701830922902,-5.699877773585924,Bearish,0.0
208,2018-10-12,214.00565,194.8849,225.2686952380939,235.05431600000003,249.2870380000003,245.86541949999904,5.263756335940866,1242.857142857143,247.822612004011,224.59416499999958,201.3657179959882,284.1140000000001,191.641,-8.747444466714995,-6.309391112211737,Bearish,0.0
209,2018-10-15,208.78215,185.1435,222.7155619047606,233.485572,248.3689610000003,245.78502149999903,4.0815901949696025,1242.857142857143,249.87683319094063,221.91337499999963,193.9499168090586,284.1140000000001,191.641,-10.542668532173591,-7.156046596204108,Bearish,0.0
210,2018-10-16,200.74516,175.8892,219.7217476190463,231.731742,247.37734600000041,245.65835199999896,3.3189919249494912,1257.142857142857,252.0762717618444,218.76986999999963,185.46346823815483,284.1140000000001,185.1435,-12.567273500471089,-8.238291977057505,Bearish,0.0
211,2018-10-17,188.35524,175.8892,216.72793333333198,229.977912,246.38573100000042,245.48377249999905,3.3189919249494912,1304.7619047619048,252.47232560853985,215.62636499999957,178.7804043914594,284.1140000000001,175.8892,-14.010285672208795,-9.392690716087763,Bearish,0.0
212,2018-10-18,189.95961,175.8892,213.7341190476177,228.487482,245.39411600000042,245.26478799999904,3.3189919249494917,1285.7142857142858,251.5581749511369,212.4828599999996,173.40754504886232,284.1140000000001,175.8892,-14.9811893888442,-10.51039045063905,Bearish,0.0
213,2018-10-19,172.58325,175.8892,210.74030476190342,227.23008,244.40250100000043,245.04580349999898,3.3189919249494917,1266.6666666666667,249.55232149608003,209.33935499999959,169.12638850391926,284.1140000000001,175.8892,-15.571143133913608,-11.522540987293961,Bearish,0.0
214,2018-10-22,179.41777,175.8892,207.7464904761892,225.972678,243.41088600000043,244.77306599999898,3.318991924949492,1247.6190476190475,248.60100912744338,206.76887499999958,164.93674087255584,284.1140000000001,175.8892,-15.855908681943305,-12.389214526223832,Bearish,0.0
215,2018-10-23,176.58713,175.8892,205.29841428571288,224.715276,242.4192710000004,244.46069149999897,3.318991924949492,1228.5714285714287,246.97588063736322,204.19839499999958,161.420909362636,284.1140000000001,175.8892,-15.898321476759264,-13.091035916330915,Bearish,0.0
216,2018-10-24,202.65689,175.8892,202.85033809523682,223.457874,241.3370230000004,244.19496549999897,3.318991924949493,1119.047619047619,244.7213039339182,201.62791499999963,158.5345260660811,284.1140000000001,175.8892,-15.750373421680482,-13.62290341740083,Bearish,0.0
217,2018-10-25,186.57188,184.6755,200.8206571428558,222.376198,240.4846520000004,244.03042949999897,25.515614370600467,1009.5238095238096,241.5033056825462,199.4967499999996,157.49019431745302,284.1140000000001,175.8892,-14.754066843807607,-13.849136102682186,Bearish,0.0
218,2018-10-26,194.797,184.6755,198.79097619047485,221.29452199999992,239.63228100000043,243.86589349999898,25.515614370600467,961.9047619047619,237.80969899392943,197.36558499999958,156.92147100606977,284.1140000000001,175.8892,-13.805347253237017,-13.84037833279315,Bullish,0.0
219,2018-10-29,189.59993,184.6755,196.76129523809388,220.212846,238.90034000000043,243.7013574999989,25.51561437060045,914.2857142857144,233.5823935988656,195.23441999999957,156.88644640113364,284.1140000000001,175.8892,-12.904722534092116,-13.653247173052945,Bullish,0.0
220,2018-10-30,188.50049,193.8725,195.1695666666653,219.31510999999992,238.38891700000042,243.5828064999989,42.71097732378216,866.6666666666665,228.97694376513215,193.56310499999958,158.149266234867,284.1140000000001,175.8892,-11.318378693917706,-13.186273477225894,Bullish,0.0
221,2018-10-31,190.95905,193.8725,193.57783809523673,218.4173739999999,237.87749400000047,243.47710949999896,42.71097732378216,800.0,223.75660637154786,191.8917899999996,160.02697362845132,284.1140000000001,175.8892,-9.946532338294844,-12.538325249439685,Bullish,0.0
222,2018-11-01,191.64357,201.7504,192.36124761904625,217.67719599999992,237.32241500000046,243.38743099999888,53.39855200501104,733.3333333333335,221.46773730858533,191.18261499999957,160.89749269141382,284.1140000000001,175.8892,-8.129936676900343,-11.656647534931814,Bullish,0.0
223,2018-11-02,184.3449,201.7504,191.68584285714147,216.93701800000002,236.76733600000043,243.2977524999989,53.39855200501104,728.5714285714287,219.0214226021816,190.47343999999958,161.92545739781764,284.1140000000001,175.8892,-6.614029116811764,-10.648123851307806,Bullish,0.0
224,2018-11-05,192.94832,192.1432,190.552952380951,215.76593799999995,236.11618500000043,243.1600379999989,42.25057411827795,819.047619047619,215.3652767353743,189.28390499999958,163.2025332646249,284.1140000000001,175.8892,-6.117365027092093,-9.741972086464664,Bullish,-0.3333333333333333
225,2018-11-06,196.88153,183.0261,188.98591428571288,214.651274,235.27721300000042,242.97673799999896,34.821162031889855,1233.3333333333333,210.77282494375987,187.6385149999996,164.50420505623933,284.1140000000001,175.8892,-6.385817207202423,-9.070741110612213,Bullish,0.0
