Unnamed: 0,Date,Predicted Price,Original Price,21 SMA,50 SMA,100 SMA,200 SMA,RSI,21-avg volume,Upper BBand,Middle BBand,Lower BBand,52-week high,52-week low,MACD,MACD Signal,MACD Trend,Score
945,2019-09-02,90.393394,88.0714,94.19952857142886,106.22314200000008,120.2282660000002,132.42738249999985,35.096994403142425,2819127.047619048,102.27919775087912,93.77145999999969,85.26372224912029,159.1213,84.9019,-4.9680376280156215,-4.892470706651273,Bearish,0.0
946,2019-09-03,88.05662,86.73299999999998,93.43629523809551,105.48645000000008,119.6451200000002,132.18351549999986,33.66231002527069,2938452.7619047617,101.12720299741108,93.0024999999997,84.87779700258831,159.1213,84.9019,-5.0291459033912105,-4.919805745999262,Bearish,0.0
947,2019-09-04,87.82596600000002,90.4115,92.8791190476193,104.83712200000008,119.11214300000022,131.96579999999986,40.82232391890114,3002212.7619047617,100.36463423662512,92.59276999999969,84.8209057633743,159.1213,84.9019,-4.7262689578491015,-4.881098388369228,Bullish,0.0
948,2019-09-05,88.14260999999998,91.4215,92.5369952380955,104.26859200000007,118.57194000000021,131.75457149999986,42.652542604171146,2948298.476190476,99.9481726448948,92.3501349999997,84.75209735510461,159.1213,84.9019,-4.354541790169677,-4.7757870687293185,Bullish,0.1111111111111111
949,2019-09-06,90.81966,92.9816,92.38020476190502,103.75639000000008,118.0219660000002,131.52437549999985,45.458541969983386,2991727.047619048,99.93918657645693,92.3435699999997,84.74795342354246,159.1213,84.9019,-3.8892257267152095,-4.598474800326497,Bullish,0.0
950,2019-09-09,89.87295999999998,92.9816,92.37395238095264,103.24911400000008,117.48759300000015,131.29454899999985,45.458541969983386,2986132.7619047617,99.9301770319004,92.33700499999969,84.74383296809897,159.1213,84.9019,-3.480340198633044,-4.374847879987806,Bullish,0.0
951,2019-09-10,91.23954,92.9816,92.36770000000028,102.72640200000008,116.96824600000015,131.04920399999986,45.458541969983386,3019035.619047619,99.92114398854609,92.3304399999997,84.73973601145329,159.1213,84.9019,-3.120326292601348,-4.123943562510513,Bullish,0.0
952,2019-09-11,92.49932,97.629,92.58275238095264,102.22980000000008,116.49315600000016,130.83157099999985,53.858494447319906,3051938.476190476,100.48765939681708,92.55624499999969,84.62483060318228,159.1213,84.9019,-2.431972077988462,-3.785549265606104,Bullish,0.2
953,2019-09-12,95.602425,100.3058,92.92527142857168,101.81974200000008,116.05148500000016,130.64920449999985,57.8820319160656,3159944.1904761908,101.53790274713364,92.91588999999969,84.29387725286571,159.1213,84.9019,-1.651414535736336,-3.3587223196321503,Bullish,0.17142857142857143
954,2019-09-13,96.73179,101.2665,93.31353809523834,101.44647000000008,115.62016000000015,130.48851499999986,59.25526524185217,3376938.476190476,102.67292694937656,93.5349999999997,84.39707305062282,159.1213,84.9019,-0.9444100278665956,-2.87585986127904,Bullish,0.0
955,2019-09-16,100.55935,106.3245,94.14402380952406,101.22707200000008,115.27168500000015,130.31977849999984,65.61231462912804,3419367.047619048,104.90773818110591,94.22677999999969,83.54582181889344,159.1213,84.9019,0.023760569784812446,-2.295935775066269,Bullish,0.0
956,2019-09-17,99.83973,107.6547,94.866204761905,100.98911800000008,114.95662900000015,130.16762849999984,67.06754259151565,3236132.7619047617,107.00111234305339,94.8241349999997,82.64715765694598,159.1213,84.9019,0.8881408321067568,-1.659120453631664,Bullish,0.0
