Unnamed: 0,Unnamed: 0.1,Date,Open,High,Low,Close,Volume,Predicted Price,21 SMA,50 SMA,100 SMA,200 SMA,14 RSI,Upper BBand,Middle BBand,Lower BBand,MACD,MACD Signal,MACD Trend,52-week high,52-week low,21-avg volume,First Resistance,Second Resistance,Third Resistance,First Support,Second Support,Third Support,Score
0,3752,2015-05-21,113.3972,114.8527,112.6379,112.9036,20150,112.23324,,,,,,,,,,,,,,,114.29156666666668,115.67953333333334,116.50636666666668,112.07676666666669,111.24993333333336,109.86196666666667,1
1,3753,2015-05-22,114.2199,114.5363,112.6379,113.5807,91260,111.998825,,,,,,,,,,,,,,,114.53203333333336,115.48336666666668,116.43043333333334,112.63363333333336,111.68656666666668,110.73523333333335,-1
2,3754,2015-05-25,117.0042,119.2569,115.2387,117.5547,226460,112.18302,,,,,,,,,,,,,,,119.4615,121.3683,123.4797,115.4433,113.3319,111.4251,-1
3,3755,2015-05-26,113.9035,118.6431,112.0684,116.6182,28340,113.83866,,,,,,,,,,,,,,,119.48473333333334,122.35126666666667,126.05943333333336,112.91003333333332,109.20186666666666,106.33533333333332,0
4,3756,2015-05-27,118.0103,122.1298,117.1307,120.32,217750,114.77416,,,,,,,,,,,,,,,122.58963333333332,124.85926666666666,127.58873333333332,117.59053333333333,114.86106666666666,112.59143333333331,0
5,3757,2015-05-28,117.7003,119.6936,117.0675,117.213,11310,116.69871,,,,,,,,,,,,,,,118.91523333333336,120.61746666666669,121.54133333333336,116.28913333333335,115.36526666666668,113.66303333333336,1
6,3758,2015-05-29,117.7003,119.5986,116.4979,117.9217,36660,116.876305,,,,,,,,,,,,,,,119.51423333333337,121.10676666666669,122.61493333333335,116.41353333333336,114.90536666666668,113.31283333333336,-1
7,3759,2015-06-01,118.1748,120.2314,118.1748,119.8771,14820,117.10565,,,,,,,,,,,,,,,120.68073333333334,121.48436666666666,122.73733333333332,118.62413333333336,117.37116666666668,116.56753333333336,0
8,3760,2015-06-02,118.9658,123.3954,118.9658,121.4844,249210,117.81168,,,,,,,,,,,,,,,123.59793333333332,125.71146666666664,128.0275333333333,119.16833333333332,116.85226666666668,114.73873333333331,1
9,3761,2015-06-03,122.1298,122.1931,120.2314,120.8769,47580,118.956245,,,,,,,,,,,,,,,121.96953333333332,123.06216666666668,123.93123333333334,120.00783333333332,119.13876666666664,118.04613333333332,-1
10,3762,2015-06-04,118.9658,122.1298,118.9658,120.1682,40300,119.37655,,,,,,,,,,,,,,,121.87673333333332,123.58526666666668,125.04073333333334,118.71273333333332,117.25726666666668,115.54873333333332,-1
11,3763,2015-06-05,119.0291,120.1618,117.8774,118.6305,53170,119.49404,,,,,,,,,,,,,,,119.90240000000004,121.17430000000002,122.18680000000003,117.61800000000002,116.6055,115.33360000000002,-1
12,3764,2015-06-08,115.2323,124.5598,115.2323,124.5598,380770,118.94163,,,,,,,,,,,,,,,127.66896666666666,130.77813333333333,136.99646666666666,118.34146666666666,112.12313333333331,109.01396666666666,1
13,3765,2015-06-09,127.1289,129.7234,126.5594,126.7682,281970,120.61137,,,,,,,,,,,,,,,128.80793333333332,130.84766666666667,131.97193333333334,125.64393333333334,124.51966666666668,122.47993333333334,-1
14,3766,2015-06-10,127.1922,127.1922,124.6673,126.0342,40300,122.62814,,,,,73.12262708939403,,,,,,,,,,127.26183333333334,128.48946666666666,129.78673333333336,124.73693333333334,123.43966666666668,122.21203333333334,1
15,3767,2015-06-11,128.1351,130.0398,126.5594,127.7301,274300,123.7701,,,,,74.74698159736577,,,,,,,,,,129.66013333333336,131.59016666666668,133.14053333333337,126.17973333333332,124.62936666666666,122.69933333333331,-1
16,3768,2015-06-12,130.3562,130.3562,127.825,128.4894,55120,125.11942,,,,,75.4620220560228,,,,,,,,,,129.9554,131.4214,132.48659999999998,127.42419999999998,126.359,124.893,1
17,3769,2015-06-15,128.4578,130.989,127.844,129.0526,61230,126.36062,,,,,76.00474309098686,,,,,,,,,,130.7464,132.4402,133.8914,127.60139999999998,126.15019999999998,124.45639999999996,-1
18,3770,2015-06-16,127.8566,129.407,126.5594,129.2551,44590,127.13285,,,,,76.20849740795569,,,,,,,,,,130.25493333333333,131.25476666666668,133.10253333333333,127.4073333333333,125.55956666666664,124.55973333333328,-1
19,3771,2015-06-17,128.4641,130.3562,128.4578,129.3564,162630,127.62563,,,,,76.3168377509717,132.33453387417686,121.91974,111.50494612582315,,,,,,,130.32246666666666,131.28853333333333,132.22086666666667,128.42406666666665,127.49173333333331,126.52566666666664,-1
20,3772,2015-06-18,129.407,129.407,128.4578,129.0463,69550,128.01051,122.2591,,,,75.18809641777737,132.71494183975923,122.726875,112.73880816024074,,,,,,,129.48293333333336,129.9195666666667,130.43213333333338,128.53373333333334,128.02116666666666,127.58453333333333,-1
21,3773,2015-06-19,128.4578,128.4578,126.6353,126.6353,7930,128.07144,122.91299047619049,,,,66.90296240012837,132.56556750557823,123.379605,114.19364249442177,,,,,,114641.42857142857,127.85029999999998,129.06529999999998,129.67279999999997,126.02779999999998,125.4203,124.2053,0
22,3774,2015-06-22,124.661,125.452,124.0662,124.5724,5590,127.18428,123.43640476190475,,,,60.736116239160296,132.5275391843352,123.73049,114.93344081566477,,,,,,114059.52380952382,125.32753333333334,126.08266666666668,126.71333333333334,123.94173333333332,123.31106666666666,122.55593333333331,-1
23,3775,2015-06-23,124.661,126.5341,124.3446,124.5091,151320,125.75257,123.76756666666668,,,,60.55167664547518,132.29630933275294,124.125035,115.95376066724704,,,,,,109980.0,125.91393333333336,127.31876666666668,128.10343333333336,123.72443333333337,122.93976666666669,121.53493333333336,-1
24,3776,2015-06-24,124.0345,127.0024,124.0345,126.5404,38610,124.72878,124.24005238095238,,,,64.2983862077997,132.47682174241464,124.43605499999998,116.39528825758534,,,,,,106401.90476190476,127.6837,128.827,130.6516,124.7158,122.8912,121.7479,0
25,3777,2015-06-25,126.5594,129.0273,125.2938,126.4771,144690,124.812965,124.5332476190476,,,,64.09409305503706,132.26094204621882,124.89925999999998,117.53757795378117,,,,,,106890.95238095238,128.57166666666663,130.6662333333333,132.30516666666662,124.83816666666664,123.19923333333332,121.10466666666665,0
26,3778,2015-06-26,126.5594,126.5594,124.3509,124.8255,16640,124.94022,124.8957476190476,,,,58.84094962824332,131.8763092718803,125.24445,118.61259072811968,,,,,,103411.90476190476,126.13963333333336,127.45376666666668,128.34813333333335,123.93113333333336,123.03676666666668,121.72263333333336,0
27,3779,2015-06-29,123.3954,128.1414,123.3954,127.1922,11830,124.52832,125.33719999999998,,,,63.46226770652989,131.81048784273642,125.61020499999998,119.40992215726354,,,,,,103665.71428571428,129.0906,130.989,133.8366,124.3446,121.497,119.59859999999998,-1
28,3780,2015-06-30,124.661,127.1922,124.661,126.4645,90870,125.15415,125.65088571428568,,,,61.18739890633561,131.769963249766,125.85921,119.94845675023396,,,,,,102483.33333333331,127.5508,128.6371,130.082,125.0196,123.5747,122.4884,1
29,3781,2015-07-01,127.825,128.1414,126.5594,127.825,428350,125.366646,125.95281904761904,,,,63.800039772067166,131.70774456774774,126.20661499999996,120.7054854322522,,,,,,106104.76190476192,128.45780000000002,129.0906,130.0398,126.8758,125.9266,125.2938,0
30,3782,2015-07-02,126.5721,131.6344,126.5594,130.6599,74100,125.89539,126.41867619047616,,,,68.55058464180831,131.8140660367985,126.73119999999996,121.64833396320148,,,,,,114635.23809523808,132.6764,134.6929,137.7514,127.60139999999998,124.5429,122.52639999999998,1
31,3783,2015-07-03,130.989,137.1588,130.3942,135.1275,249860,127.3175,127.13102380952378,,,,74.27910681677268,132.46413717303068,127.55604999999996,122.64796282696923,,,,,,115898.09523809524,138.05946666666665,140.99143333333333,144.82406666666665,131.29486666666665,127.46223333333332,124.53026666666663,1
32,3784,2015-07-06,138.5509,141.8794,136.0514,141.8794,299520,130.02708,128.23811428571423,,,,80.16067688756367,136.1889986807972,128.42202999999995,120.6550613192027,,,,,,125877.14285714286,143.82206666666667,145.76473333333334,149.65006666666667,137.99406666666667,134.10873333333333,132.1660666666667,-1
33,3785,2015-07-07,143.0121,148.9668,142.3793,147.6758,599820,134.28676,129.33887619047613,,,,83.62294085994651,140.8493705613305,129.46740999999994,118.0854494386694,5.354140175358339,3.847155798270055,Bullish,,,137608.09523809524,150.30196666666666,152.92813333333334,156.88946666666666,143.71446666666665,139.75313333333332,137.12696666666665,1
34,3786,2015-07-08,146.1761,153.7697,145.5496,152.7382,246480,139.39578,130.5755428571428,,,,85.93206130312977,145.914411260064,130.80260999999996,115.69080873993592,6.5024595251623225,4.3782165436485085,Bullish,,,148039.04761904763,155.82206666666667,158.90593333333334,164.04216666666667,147.60196666666667,142.46573333333333,139.38186666666667,1
35,3787,2015-07-09,154.4025,156.9273,148.7073,150.2387,246870,144.65211,131.72813809523805,,,,79.93897398085107,149.16069568453375,131.92803999999995,114.69538431546616,7.128647511189257,4.928302737156658,Bullish,,,146349.04761904763,155.2082333333333,160.17776666666666,163.4282333333333,146.9882333333333,143.73776666666666,138.7682333333333,-1
36,3788,2015-07-10,148.7073,151.1752,146.2078,148.9731,73450,147.1377,132.7397095238095,,,,77.0102923935386,151.62066273205366,132.95222499999997,114.28378726794628,7.437052941709595,5.430052778067245,Bullish,,,156185.7142857143,151.3629333333333,153.75276666666664,156.3303333333333,146.3955333333333,143.81796666666665,141.4281333333333,-1
37,3789,2015-07-13,149.0174,151.8586,148.7073,149.9539,228150,147.95724,133.76182857142854,,,,77.69237289960311,153.9700689621692,133.99728999999996,114.02451103783072,7.672168843778707,5.8784759912095375,Bullish,,,146621.42857142858,151.63923333333335,153.32456666666667,154.79053333333334,148.48793333333336,147.02196666666669,145.33663333333337,1
38,3790,2015-07-14,151.8713,151.8713,148.7073,149.4667,219050,148.47223,134.73392857142855,,,,76.47855546286243,155.9408503820786,135.00786999999997,114.07488961792136,7.730079378519122,6.248796668671455,Bullish,,,154860.95238095237,151.32289999999998,153.17909999999998,154.48689999999996,148.1589,146.8511,144.9949,0
