Unnamed: 0,Unnamed: 0.1,Date,Open,High,Low,Close,Volume,Predicted Price,21 SMA,50 SMA,100 SMA,200 SMA,14 RSI,Upper BBand,Middle BBand,Lower BBand,MACD,MACD Signal,MACD Trend,52-week high,52-week low,21-avg volume,First Resistance,Second Resistance,Third Resistance,First Support,Second Support,Third Support,Score
28,3780,2015-06-30,181.3707,185.0165,181.0354,183.2816,252900,184.58365,186.92379047619048,,,,49.378187759463614,195.726968072484,186.89548,178.06399192751593,,,,,,360066.6666666667,185.1869333333333,187.09226666666663,189.1680333333333,181.2058333333333,179.13006666666666,177.22473333333332,-1
29,3781,2015-07-01,184.3879,192.4423,184.3879,192.4423,286300,185.14896,187.1596142857143,,,,62.91965975662303,196.3366931359968,187.18165,178.02660686400316,,,,,,351523.8095238095,195.12710000000004,197.8119,203.18150000000003,187.07270000000003,181.70310000000003,179.01830000000007,0
30,3782,2015-07-02,196.9682,197.798,188.1595,189.2574,992100,189.06961,187.28049523809528,,,,57.19154344608432,196.48166268746905,187.281915,178.0821673125309,,,,,,334076.1904761905,195.31709999999995,201.3768,204.95559999999995,185.6786,182.0998,176.04009999999997,1
31,3783,2015-07-03,189.4167,197.0436,189.3748,194.4874,1237300,190.39926,187.6250333333333,,,,63.12782852058191,197.3194239928119,187.599795,177.88016600718805,,,,,,365904.7619047619,197.8957333333333,201.30406666666667,205.56453333333332,190.2269333333333,185.96646666666663,182.55813333333333,1
32,3784,2015-07-06,196.7838,200.3123,194.0264,198.5607,792000,193.9173,188.1217428571429,,,,66.96957524075174,198.81947607343324,188.023725,177.22797392656668,,,,,,411695.2380952381,201.2398666666667,203.91903333333332,207.5257666666667,194.9539666666667,191.34723333333332,188.6680666666667,0
33,3785,2015-07-07,199.4742,204.0839,195.7278,196.7587,722500,197.42067,188.43967619047615,,,,63.80248331044446,199.7960393960049,188.36657499999995,176.93711060399502,2.568350985170809,1.179383777610367,Bullish,,,417404.7619047619,201.98580000000004,207.2129,210.34190000000004,193.62970000000004,190.5007,185.27360000000004,0
34,3786,2015-07-08,197.798,203.6649,196.2893,198.3008,733400,198.68205,188.83963333333327,,,,65.3142229050268,200.8455805479129,188.694245,176.54290945208703,2.9817792638024514,1.539862874848784,Bullish,,,407123.8095238095,202.54736666666665,206.7939333333333,209.92296666666664,195.17176666666663,192.04273333333333,187.79616666666664,1
35,3787,2015-07-09,198.6361,204.0336,198.6361,200.0944,622700,200.2711,189.2371095238095,,,,67.03848438200949,201.9588233878765,189.003725,176.04862661212343,3.414789120122947,1.9148481239036168,Bullish,,,423185.7142857143,203.2066333333334,206.3188666666667,208.6041333333334,197.8091333333334,195.5238666666667,192.41163333333336,1
36,3788,2015-07-10,201.1421,204.4946,199.0971,200.1112,347600,201.76173,189.5326523809524,,,,67.05500436214713,203.0896308847805,189.35423999999995,175.6188491152194,3.71646705176866,2.2751719094766254,Bullish,,,427923.8095238095,203.3715,206.6318,208.76899999999995,197.974,195.8368,192.5765,1
37,3789,2015-07-13,201.1505,201.1505,197.1694,198.1584,205000,202.46106,189.7734857142857,,,,63.09641717048888,203.8041892686396,189.61531999999997,175.42645073136032,3.754692587368368,2.5710760450549737,Bullish,,,413442.8571428572,200.4828,202.8072,204.4639,196.5017,194.845,192.5206,1
