Open,High,Low,Close,Volume
-0.023900000000000032,0.033499999999999974,0.0479,0.0479,-86669.0
0.0479,0.0,-0.062299999999999967,-0.0383,63861.0
-0.0383,-0.033499999999999974,0.028799999999999992,0.0048000000000000265,-63861.0
0.0,0.0,0.0,0.0,0.0
0.0048000000000000265,0.009500000000000008,-0.0048000000000000265,0.009500000000000008,109476.0
0.009500000000000008,0.04799999999999999,0.009500000000000008,0.03359999999999996,168775.0
0.03359999999999996,-0.02400000000000002,0.028799999999999992,-0.009599999999999997,-273689.0
-0.009599999999999997,-0.019199999999999995,-0.019199999999999995,-0.019199999999999995,4561.0
-0.019199999999999995,0.0,0.0,0.0,82107.0
0.0,0.0,0.0,0.0,0.0
0.0,0.07680000000000003,0.03839999999999999,0.06720000000000004,68422.0
0.06720000000000004,0.004799999999999971,0.028800000000000048,0.009599999999999997,0.0
0.009599999999999997,-0.014399999999999968,0.0,-0.009599999999999997,-118598.0
-0.009599999999999997,0.019199999999999995,0.014399999999999968,0.019199999999999995,0.0
0.019199999999999995,0.028699999999999948,-0.014399999999999968,0.028699999999999948,-9123.0
0.028699999999999948,-0.038299999999999945,0.0,-0.04789999999999994,13684.0
-0.04789999999999994,-0.009599999999999997,0.0,0.0,-45615.0
0.0,0.019199999999999995,-0.009600000000000053,-0.009600000000000053,22808.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
-0.009600000000000053,-0.06720000000000004,-0.06719999999999998,-0.03839999999999999,36492.0
-0.03839999999999999,0.019199999999999995,0.028799999999999992,0.0,-36492.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,-0.019199999999999995,-0.019199999999999995,0.0,-13685.0
0.0,0.0,0.0,0.0,4562.0
0.0,-0.014399999999999968,0.0,-0.019199999999999995,4561.0
0.0,0.0,0.0,0.0,0.0
-0.009599999999999942,0.0048000000000000265,0.009600000000000053,0.009600000000000053,-13684.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.01919999999999994,0.01919999999999994,0.01919999999999994,-4562.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.01919999999999994,-0.10549999999999998,-0.15349999999999997,-0.10549999999999998,59300.0
-0.10549999999999998,-0.009599999999999997,0.014399999999999968,-0.009599999999999997,-41054.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
-0.009599999999999997,0.009599999999999997,0.03360000000000002,0.009599999999999997,-13684.0
0.009599999999999997,-0.009599999999999997,-0.009599999999999997,-0.009599999999999997,4561.0
-0.009599999999999997,0.0,-0.0048000000000000265,0.0,-4561.0
0.0,0.08150000000000002,-0.014399999999999968,0.08150000000000002,27369.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.08150000000000002,-0.057499999999999996,0.043200000000000016,-0.057499999999999996,-27369.0
0.0,0.0,0.0,0.0,0.0
-0.057499999999999996,0.03359999999999996,0.03359999999999996,0.03359999999999996,-4562.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.03359999999999996,-0.014399999999999968,-0.0912,-0.014399999999999968,4562.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
-0.014399999999999968,-0.009599999999999997,0.019199999999999995,-0.009599999999999997,50176.0
-0.009599999999999997,-0.02400000000000002,0.02400000000000002,-0.02400000000000002,-50176.0
-0.02400000000000002,-0.004799999999999971,-0.009599999999999997,-0.004799999999999971,31930.0
-0.019199999999999995,-0.014400000000000024,-0.009599999999999997,-0.014400000000000024,-36492.0
0.0,0.0,-0.014400000000000024,0.0,4562.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,-0.0048000000000000265,0.009599999999999997,-0.0048000000000000265,0.0
0.0,0.0,0.0,0.0,0.0
-0.0048000000000000265,-0.009599999999999997,-0.009599999999999997,-0.009599999999999997,-4562.0
0.0,0.0,0.0,0.0,0.0
-0.009599999999999997,0.009599999999999997,-0.014399999999999968,0.0048000000000000265,9123.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0048000000000000265,-0.023999999999999966,-0.023900000000000032,-0.019199999999999995,72984.0
0.0,0.019199999999999995,0.0,0.0,0.0
-0.019199999999999995,-0.019199999999999995,0.023900000000000032,0.0,-72984.0
0.0,0.019199999999999995,0.019199999999999995,0.019199999999999995,-9123.0
