22OCT2020,UBL,0807,United	Bank,123,123.99,121.60,121.89,1215668
22OCT2020,AICL,0812,Adamjee	Ins.XD,40.05,40.44,39.91,39.92,358000
22OCT2020,IGIL,0812,IGI	Life	Ins,58,60.30,55.20,59.03,15000
22OCT2020,AGIC,0812,Ask.Gen.Insur.,22.17,22.30,22,22.20,33500
22OCT2020,CYAN,0812,Cyan	Limited,34,34,33.21,33.55,37500
22OCT2020,JLICL,0812,Jubile	Life	Ins,445,449,440,440.93,58300
22OCT2020,CSIL,0812,Cres.Star	Ins.,3.23,3.24,2.92,3,999000
22OCT2020,EFUG,0812,EFU	General,126,126.90,116.50,116.50,3100
22OCT2020,EFUL,0812,EFU	Life	Assr,200,200,195,200,6400
22OCT2020,IGIHL,0812,IGI	Holdings,215,215,210,210,66800
22OCT2020,ALAC,0812,Askari	Life	Ass,7.80,7.80,7.54,7.58,92500
22OCT2020,ALACR4,0812,Askari	Life	(R),0.13,0.13,0.07,0.08,229000
22OCT2020,JGICL,0812,Jubilee	Gen.Ins,44.99,47.03,43.70,46.69,54000
22OCT2020,PIL,0812,PICIC	Ins.Ltd.,1.60,1.60,1.40,1.46,31000
22OCT2020,PKGI,0812,Pak	Gen.Ins.,2.70,2.70,2.51,2.68,5500
22OCT2020,PAKRI,0812,Pak	Reinsurance,26.50,27.70,26.35,27.03,49000
22OCT2020,RICL,0812,Reliance	Ins.,7.30,7.40,7.10,7.13,35000
22OCT2020,SHNI,0812,Shaheen	Ins.,4.60,4.60,4.26,4.26,18000
22OCT2020,TPLI,0812,TPL	Insurance,27,28.40,25.95,27.75,27000
22OCT2020,UNIC,0812,United	InsuranceXD,7.45,7.48,7.20,7.20,4000
22OCT2020,UVIC,0812,Universal	Ins.,5.75,5.75,5.50,5.50,7000
22OCT2020,ASTM,0830,Asim	Textile,9.75,10.50,9.48,9.57,58500
22OCT2020,BILF,0830,Bilal	Fibres,1.54,1.65,1.54,1.61,26000
22OCT2020,CWSM,0830,Chakwal	Spinning,2.54,2.69,2.40,2.44,254500
22OCT2020,HIRAT,0830,Hira	Textile,2.80,2.85,2.76,2.79,155000
22OCT2020,DFSM,0830,Dewan	Farooque	Sp.,2.17,2.17,1.95,2,37500
22OCT2020,DINT,0830,Din	Textile,45,45,45,45,500
22OCT2020,DSIL,0830,D.S.	Ind.	Ltd.,2.70,2.70,2.50,2.51,76000
22OCT2020,ELCM,0830,Elahi	Cotton,0,45,45,45,0
22OCT2020,ELSM,0830,Ellcot	Spinning,93,93,93,93,500
22OCT2020,FZCM,0830,Fazal	Cloth,132.99,132.99,128,130.96,500
22OCT2020,GADT,0830,Gadoon	Textile,203.99,204,200,201,4000
22OCT2020,IDYM,0830,Indus	Dyeing,540,540,512,512,100
22OCT2020,JATM,0830,J.A.Textile,6.99,7.40,6.99,7.40,12000
22OCT2020,JKSM,0830,J.K.SpinningXDXB,48.49,48.49,47,47,6000
22OCT2020,JDMT,0830,Janana	D	Mal,77.41,77.41,77,77,11000
22OCT2020,KOHTM,0830,Kohat	Textile,14.80,16,14.80,16,1000
22OCT2020,KOSM,0830,Kohinoor	Spining,3.55,3.93,3.55,3.71,4306000
22OCT2020,MQTM,0830,Maqbool	Textile,27,27,27,27,500
22OCT2020,NAGC,0830,Nagina	Cotton,37.11,37.11,37.11,37.11,500
22OCT2020,OML,0818,Olympia	Mills,9.80,9.80,9.80,9.80,2000
22OCT2020,RAVT,0830,Ravi	Textile,4.50,4.60,4.42,4.58,99500
22OCT2020,SNAI,0830,Sana	Ind,40.50,41,40.10,41,5500
22OCT2020,SSML,0830,Saritow	Spinning,4.23,4.80,4.22,4.52,23000
22OCT2020,SERT,0830,Service	Textile,0,10.49,10.49,10.49,2000
22OCT2020,SHDT,0830,Shadab	TextileXD,35,35,33.25,34.60,5500
22OCT2020,UNITY,0834,Unity	Foods	Ltd,21.30,22.24,21.16,21.77,61308000
22OCT2020,ASHT,0831,Ashfaq	TextileXB,9.50,9.50,9.50,9.50,1000
