18MAR2021|SILK|0807|Silk	Bank	Ltd|1.20|1.22|1.18|1.18|4698500|1.22|||
18MAR2021|SNBL|0807|Soneri	Bank	LtdXD|9|9|8.80|8.81|62500|8.89|||
18MAR2021|SCBPL|0807|St.Chart.BankXD|25.10|27|25.10|26.61|7000|26.68|||
18MAR2021|UBL|0807|United	Bank|132.50|136|131.05|132.56|3517444|132.40|||
18MAR2021|AICL|0812|Adamjee	Ins.|42.75|43|41.75|42|226000|42.62|||
18MAR2021|IGIL|0812|IGI	Life	Ins|49.01|53.87|49.01|51.20|39500|50.12|||
18MAR2021|AGIC|0812|Ask.Gen.Insur.|23|23.29|23|23.29|3000|23.25|||
18MAR2021|CYAN|0812|Cyan	Limited|46.75|46.75|45.65|45.90|20000|46.40|||
18MAR2021|JLICL|0812|Jubile	Life	Ins|369|369.95|369|369.48|200|365|||
18MAR2021|CSIL|0812|Cres.Star	Ins.|2.79|2.79|2.55|2.60|224000|2.78|||
18MAR2021|EFUG|0812|EFU	General|118.10|118.10|118|118|1900|118.87|||
18MAR2021|IGIHL|0812|IGI	Holdings|165|165|157|163.49|9400|164.75|||
18MAR2021|ATIL|0812|Atlas	Ins.	Ltd|61.45|61.45|59|59.38|14000|60.90|||
18MAR2021|JGICL|0812|Jubilee	Gen.Ins|43.51|43.51|43.50|43.50|3500|44|||
18MAR2021|PIL|0812|PICIC	Ins.Ltd.|1.31|1.36|1.31|1.31|89000|1.36|||
18MAR2021|PKGI|0812|Pak	Gen.Ins.|3|3|3|3|500|3.30|||
18MAR2021|PAKRI|0812|Pak	Reinsurance|25.12|26|25.12|25.75|32500|25.38|||
18MAR2021|PINL|0812|Premier	Ins.|4.27|4.29|4.27|4.27|6500|4.20|||
18MAR2021|RICL|0812|Reliance	Ins.|8|8|7.60|7.78|11000|7.95|||
18MAR2021|SHNI|0812|Shaheen	Ins.|4.52|4.52|4.52|4.52|500|4.64|||
