Unnamed: 0,Unnamed: 0.1,Date,Open,High,Low,Close,Volume,Predicted Price,21 SMA,50 SMA,100 SMA,200 SMA,14 RSI,Upper BBand,Middle BBand,Lower BBand,MACD,MACD Signal,MACD Trend,52-week high,52-week low,21-avg volume,First Resistance,Second Resistance,Third Resistance,First Support,Second Support,Third Support,Score
0,3675,2015-04-13,1127.9933,1128.6773,1098.0662,1098.0662,317,1114.8724,,,,,,,,,,,,,,,1118.4736,1138.881,1149.0847,1087.8625,1077.6588,1057.2514,1
1,3676,2015-04-14,1127.9933,1128.6773,1098.0662,1098.0662,317,1107.7446,,,,,,,,,,,,,,,1118.4736,1138.881,1149.0847,1087.8625,1077.6588,1057.2514,-1
2,3677,2015-04-15,1127.9933,1128.6773,1098.0662,1098.0662,317,1115.6067,,,,,,,,,,,,,,,1118.4736,1138.881,1149.0847,1087.8625,1077.6588,1057.2514,-1
3,3678,2015-04-16,1127.9933,1128.6773,1098.0662,1098.0662,317,1109.1206,,,,,,,,,,,,,,,1118.4736,1138.881,1149.0847,1087.8625,1077.6588,1057.2514,0
4,3679,2015-04-17,1121.8369,1121.8369,1121.8369,1121.8369,26,1102.8679,,,,,,,,,,,,,,,1121.8369,1121.8369,1121.8369,1121.8369,1121.8369,1121.8369,-1
5,3680,2015-04-20,1074.022,1073.9536,1065.745,1066.0186,264,1107.701,,,,,,,,,,,,,,,1071.3998,1076.7810000000002,1079.6084000000003,1063.1912,1060.3638,1054.9825999999998,1
6,3681,2015-04-21,1074.022,1073.9536,1065.745,1066.0186,264,1099.4497,,,,,,,,,,,,,,,1071.3998,1076.7810000000002,1079.6084000000003,1063.1912,1060.3638,1054.9825999999998,0
7,3682,2015-04-22,1074.022,1073.9536,1065.745,1066.0186,264,1091.3099,,,,,,,,,,,,,,,1071.3998,1076.7810000000002,1079.6084000000003,1063.1912,1060.3638,1054.9825999999998,0
8,3683,2015-04-23,1074.022,1073.9536,1065.745,1066.0186,264,1094.1859,,,,,,,,,,,,,,,1071.3998,1076.7810000000002,1079.6084000000003,1063.1912,1060.3638,1054.9825999999998,-1
9,3684,2015-04-24,1049.3279,1049.3279,1049.3279,1049.3279,26,1072.8701,,,,,,,,,,,,,,,1049.3279,1049.3279,1049.3279,1049.3279,1049.3279,1049.3279,-1
