Unnamed: 0,Date,Predicted Price,Original Price,21 SMA,50 SMA,100 SMA,200 SMA,RSI,21-avg volume,Upper BBand,Middle BBand,Lower BBand,52-week high,52-week low,MACD,MACD Signal,MACD Trend,Score
1193,2019-07-26,654.3077400000002,635.4473,680.6713000000005,684.1553620000002,696.5307599999992,694.8946535000023,19.369079336189717,20330.47619047619,718.6141092173993,679.5407849999998,640.4674607826005,909.8954,580.1429,-11.834985200899947,-6.98894431312926,Bearish,0.0
1194,2019-07-29,652.2445,631.4268,677.2496428571433,683.4166720000004,696.2039839999992,694.4026560000021,18.251459149676094,20767.09523809524,718.5978002567099,675.92725,633.25669974329,909.8954,580.1429,-13.501444091232546,-8.291444268749919,Bearish,0.3333333333333333
1195,2019-07-30,649.7869999999998,636.6624,674.0574952380956,683.0128300000002,695.8847929999989,693.9817125000023,24.37133705481285,17951.904761904763,716.3979667406908,672.5473599999998,628.6967532593088,909.8954,580.1429,-14.235556964385069,-9.480266807876946,Bearish,0.0
1196,2019-07-31,633.8784,640.4137,671.0171857142859,682.1487120000004,695.5800359999993,693.3993280000021,28.501432698732057,14400.095238095239,713.5076642562874,669.5307799999998,625.5538957437122,909.8954,580.1429,-14.349239050594175,-10.454061256420394,Bearish,0.0
1197,2019-08-01,626.5298,639.3617,668.0941571428574,681.2289760000002,695.2573379999991,692.6224955000023,28.038993402933954,14745.619047619048,711.0819166948725,666.7812799999998,622.4806433051273,909.8954,580.1429,-14.358702348329643,-11.234989474802244,Bearish,0.0
1198,2019-08-02,636.60803,631.6388,665.107828571429,680.4387440000005,694.9353739999991,691.8170810000023,24.851235184771696,13307.238095238095,707.9567199064443,663.4882399999998,619.0197600935556,909.8954,580.1429,-14.818556472215507,-11.951702874284894,Bearish,0.5
1199,2019-08-05,629.0471,621.6406,661.4954952380956,679.4149500000004,694.4985849999991,690.9849430000021,21.45108357391717,13285.809523809525,705.404595164142,659.8274049999999,614.2502148358577,909.8954,580.1429,-15.807545811758814,-12.72287146177968,Bearish,0.0
1200,2019-08-06,635.87756,616.3398,657.7565666666671,678.2879120000002,693.9490929999993,690.2104575000021,19.89677489677984,13406.333333333336,702.6188478581624,655.9871549999998,609.3554621418374,909.8954,580.1429,-16.825107877648858,-13.543318744953515,Bearish,0.0
1201,2019-08-07,634.8642,609.5874,653.7776428571433,676.7363200000002,693.3285699999992,689.4181075000023,18.097837134845623,13446.52380952381,699.7544514815493,651.903885,604.0533185184506,909.8954,580.1429,-17.969256984797426,-14.428506392922294,Bearish,0.2
1202,2019-08-08,617.1669999999998,593.5952,649.1272809523814,674.5421040000002,692.5305099999991,688.5079435000023,14.706458447661364,13109.047619047617,697.2902674493524,646.939455,596.5886425506475,909.8954,580.1429,-19.93662329968823,-15.530129774275483,Bearish,0.0
1203,2019-08-09,607.6358,586.8672,644.0788714285718,672.2133280000005,691.6219479999991,687.5612455000021,13.55557826121993,13505.47619047619,695.7454740472717,642.0643249999998,588.3831759527279,909.8954,580.1429,-21.78751573101647,-16.78160696562368,Bearish,0.0
1204,2019-08-12,598.4377,586.8672,639.4358904761907,669.8871600000002,690.710612999999,686.5636520000022,13.555578261219928,13419.761904761905,693.0900186098297,637.3726849999998,581.6553513901703,909.8954,580.1429,-22.98935435121939,-18.023156442742824,Bearish,0.0
1205,2019-08-13,596.5857,586.8672,634.9676619047624,667.5609920000004,689.6995409999988,685.6213525000022,13.555578261219928,9991.190476190475,688.9303746664018,632.70714,576.483905333598,909.8954,580.1429,-23.668978861620868,-19.15232092651843,Bearish,0.0
1206,2019-08-14,595.411,586.8672,630.5242857142863,665.2348240000002,688.5325429999989,684.6667055000022,13.55557826121993,10028.666666666666,684.6953420908255,628.3722849999998,572.0492279091745,909.8954,580.1429,-23.93171625453806,-20.10819999212236,Bearish,0.0
1207,2019-08-15,591.8507,586.8672,626.395852380953,662.9086560000002,687.2143489999988,683.7085470000022,13.555578261219928,9723.285714285714,679.6754454413142,624.1630200000002,568.650594558686,909.8954,580.1429,-23.864838528139444,-20.859527699325774,Bearish,0.0
1208,2019-08-16,583.1986,557.525,620.9897809523815,659.9956440000002,685.4903549999988,682.6080380000022,9.071098951767443,9367.0,676.7721324166636,618.4793050000002,560.1864775833367,909.8954,580.1429,-25.8811657963098,-21.86385531872257,Bearish,0.0
1209,2019-08-19,570.54565,548.5299,615.1483809523813,657.0803500000002,683.7576349999986,681.5048440000022,8.177926749352181,7936.619047619048,674.1634530465333,612.61006,551.0566669534667,909.8954,557.525,-27.88352515688416,-23.06778928635489,Bearish,0.5
