Date,Open,High,Low,Close,Volume
2001-01-02,24.1702,24.1702,23.804000000000002,24.1702,113547
2001-01-03,24.1702,24.7196,24.1702,24.6097,57492
2001-01-04,24.6097,24.5731,24.2618,24.5731,5031
2001-01-05,24.5731,24.5365,23.8956,24.5365,44556
2001-01-08,24.5365,24.5365,24.5365,24.5365,1437
2001-01-09,24.5365,24.5365,24.5365,24.5365,1437
2001-01-10,24.5365,24.5365,23.9871,24.5365,7905
2001-01-11,24.5365,24.5365,23.9871,24.4998,40245
2001-01-12,24.5365,24.5365,23.9871,24.4998,40245
2001-01-15,24.4998,24.3534,24.1702,24.1702,16529
2001-01-16,24.4998,24.3534,24.1702,24.1702,16529
2001-01-17,24.1702,24.1702,24.1702,24.1702,16529
2001-01-18,24.1702,24.2618,23.8773,23.8773,15092
2001-01-19,23.8773,23.804000000000002,23.4927,23.4927,189005
2001-01-22,23.8773,23.804000000000002,23.4927,23.4927,189005
2001-01-23,23.8773,23.804000000000002,23.4927,23.4927,189005
2001-01-24,23.4927,23.1082,23.1082,23.1082,719
2001-01-25,23.1082,23.5843,23.4378,23.5843,3593
2001-01-26,23.1082,23.5843,23.4378,23.5843,3593
2001-01-29,23.1082,23.5843,23.4378,23.5843,3593
2001-01-30,23.5843,23.804000000000002,23.0716,23.0716,39526
2001-01-31,23.0716,23.4378,23.4378,23.4378,719
2001-02-01,23.4378,23.4378,23.4378,23.4378,13654
2001-02-02,23.4378,22.8885,22.8885,22.8885,2156
2001-02-05,23.4378,22.8885,22.8885,22.8885,2156
2001-02-06,23.4378,22.8885,22.8885,22.8885,2156
2001-02-07,22.8885,22.1561,22.1561,22.1561,3593
2001-02-08,22.8885,22.1561,22.1561,22.1561,3593
2001-02-09,22.8885,22.1561,22.1561,22.1561,3593
2001-02-12,22.1561,23.6209,23.6209,23.6209,719
2001-02-13,22.1561,23.6209,23.6209,23.6209,719
2001-02-14,23.9871,23.9871,23.9871,23.9871,2875
2001-02-15,23.804000000000002,23.804000000000002,23.804000000000002,23.804000000000002,7187
2001-02-16,23.804000000000002,23.804000000000002,23.804000000000002,23.804000000000002,7187
2001-02-19,23.804000000000002,23.804000000000002,23.0716,23.4378,14373
2001-02-20,23.4378,23.1631,23.0716,23.1265,2156
2001-02-21,23.1265,23.0899,22.7969,22.7969,45994
2001-02-22,22.7969,22.7054,22.7054,22.7054,17966
2001-02-23,22.7054,22.741999999999997,22.1561,22.1561,71865
2001-02-26,22.1561,22.8702,22.8519,22.8702,2156
2001-02-27,22.8702,22.3575,22.3392,22.3392,10061
2001-02-28,22.3392,22.3392,22.3392,22.3392,719
2001-03-01,22.3392,22.3392,22.3392,22.3392,719
2001-03-02,22.3392,22.3392,22.3392,22.3392,1437
2001-03-05,22.3392,22.3392,22.3392,22.3392,1437
2001-03-06,22.3392,22.3392,22.3392,22.3392,1437
2001-03-07,22.3392,22.3392,22.3392,22.3392,1437
2001-03-08,22.3392,22.3392,22.3392,22.3392,1437
2001-03-09,22.3392,22.3392,22.3392,22.3392,719
2001-03-12,22.3392,22.7054,22.7054,22.7054,2156
2001-03-13,22.7054,22.3392,22.3392,22.3392,8624
2001-03-14,22.3392,22.3392,22.1561,22.1744,41682
2001-03-15,22.1744,22.1561,21.8814,21.8814,55336
2001-03-16,21.8814,22.0645,21.6067,21.9729,10061
2001-03-19,21.9729,21.9913,21.9729,21.9729,33777
2001-03-20,21.9729,21.9729,21.9729,21.9729,17248
2001-03-21,21.9729,21.9729,21.9729,21.9729,10061
2001-03-22,21.9729,22.1561,21.7898,22.1561,2156
2001-03-23,21.9729,22.1561,21.7898,22.1561,2156
2001-03-26,21.9729,22.1561,21.7898,22.1561,2156
2001-03-27,21.9729,22.1561,21.7898,22.1561,2156
2001-03-28,22.1561,21.9729,21.9729,21.9729,9342
2001-03-29,22.1561,21.9729,21.9729,21.9729,9342
2001-03-30,22.1561,21.9729,21.9729,21.9729,9342
2001-04-02,22.1561,21.9729,21.9729,21.9729,9342
2001-04-03,22.1561,21.9729,21.9729,21.9729,9342
2001-04-04,22.1561,21.9729,21.9729,21.9729,9342
2001-04-05,22.1561,21.9729,21.9729,21.9729,9342
2001-04-06,22.1561,21.9729,21.9729,21.9729,9342
2001-04-09,21.9729,22.1561,22.1561,22.1561,719
2001-04-10,22.1561,22.0645,22.0645,22.0645,719
2001-04-11,22.0645,22.3392,22.3392,22.3392,719
2001-04-12,22.0645,22.3392,22.3392,22.3392,719
2001-04-13,22.3392,22.3392,22.3392,22.3392,719
2001-04-16,22.3392,22.3392,22.3392,22.3392,719
2001-04-17,22.3392,22.8885,22.7054,22.8885,2875
2001-04-18,22.3392,22.8885,22.7054,22.8885,2875
2001-04-19,22.8885,22.7054,22.7054,22.7054,7187
2001-04-20,22.7054,22.7054,22.7054,22.7054,719
2001-04-23,22.7054,22.7054,22.7054,22.7054,719
2001-04-24,22.7054,22.7054,22.7054,22.7054,719
2001-04-25,22.7054,22.7054,22.7054,22.7054,719
2001-04-26,22.3575,22.3575,22.3392,22.3392,2156
2001-04-27,22.3392,22.6871,21.9729,21.9729,30183
2001-04-30,21.9729,22.3392,22.3392,22.3392,2875
2001-05-01,21.9729,22.3392,22.3392,22.3392,2875
2001-05-02,22.3392,22.3392,22.3392,22.3392,1437
2001-05-03,22.3392,22.449,22.3392,22.3392,10780
2001-05-04,22.3392,22.449,22.3392,22.3392,10780
2001-05-07,22.3392,22.3392,22.3392,22.3392,719
2001-05-08,22.3392,22.3575,22.3392,22.3392,2875
2001-05-09,22.3392,22.3575,22.3392,22.3392,2875
2001-05-10,22.3392,22.3575,22.3392,22.3392,2875
2001-05-11,22.3392,22.3575,22.3392,22.3392,2875
2001-05-14,22.3392,22.3575,22.3392,22.3392,2875
2001-05-15,23.4561,23.4561,23.4561,23.4561,684
2001-05-16,23.4561,23.4561,23.4561,23.4561,684
2001-05-17,23.4561,23.4561,23.4561,23.4561,684
2001-05-18,23.4561,23.4561,23.4561,23.4561,684
2001-05-21,23.4561,23.4561,23.4561,23.4561,684
2001-05-22,23.4561,23.4561,23.4561,23.4561,684
2001-05-23,23.4561,23.4561,23.4561,23.4561,684
2001-05-24,23.4561,23.4561,23.4561,23.4561,684
2001-05-25,23.4561,23.4561,23.4561,23.4561,684
2001-05-28,23.4561,23.4561,23.4561,23.4561,684
2001-05-29,23.4561,23.4561,23.4561,23.4561,684
2001-05-30,23.4561,23.4561,23.4561,23.4561,684
2001-05-31,23.4561,23.8406,23.4561,23.4946,4791
2001-06-01,23.4561,23.8406,23.4561,23.4946,4791
2001-06-04,23.4561,23.8406,23.4561,23.4946,4791
2001-06-05,23.4561,23.8406,23.4561,23.4946,4791
2001-06-06,23.4561,23.8406,23.4561,23.4946,4791
2001-06-07,23.4561,23.8406,23.4561,23.4946,4791
2001-06-08,22.3775,22.3775,22.3775,22.3775,4791
2001-06-11,22.3775,22.461,22.3815,22.3815,7529
2001-06-12,22.3815,22.3815,22.3815,22.3815,2738
2001-06-13,22.3815,22.3815,22.3815,22.3815,2738
2001-06-14,22.3815,22.6597,22.6597,22.6597,684
2001-06-15,22.3815,22.6597,22.6597,22.6597,684
2001-06-18,22.6597,23.8524,22.6597,23.4548,21902
2001-06-19,23.4548,23.4548,22.6597,22.6597,6844
2001-06-20,23.4548,23.4548,22.6597,22.6597,6844
2001-06-21,22.6597,22.6597,22.6597,22.6597,1369
2001-06-22,22.6597,22.6597,22.6597,22.6597,1369
2001-06-25,22.6597,22.6597,22.6597,22.6597,1369
2001-06-26,22.6597,22.6597,22.6597,22.6597,1369
2001-06-27,22.6597,22.6597,22.6597,22.6597,1369
2001-06-28,22.6597,22.6597,22.6597,22.6597,2738
2001-06-29,22.6597,22.6597,22.6597,22.6597,2738
2001-07-02,22.6597,22.6597,22.6597,22.6597,2738
2001-07-03,22.6597,22.6597,22.6597,22.6597,2738
2001-07-04,22.6597,22.6597,22.6597,22.6597,13689
2001-07-05,22.6597,22.6597,22.6597,22.6597,13689
2001-07-06,22.6597,22.6796,22.6796,22.6796,68443
2001-07-09,22.6597,22.6796,22.6796,22.6796,68443
2001-07-10,22.6597,22.6796,22.6796,22.6796,68443
2001-07-11,22.6597,22.6796,22.6796,22.6796,68443
2001-07-12,22.6597,22.6796,22.6796,22.6796,68443
2001-07-13,22.6796,22.6597,22.6597,22.6597,684
2001-07-16,22.6796,22.6597,22.6597,22.6597,684
2001-07-17,22.6597,22.6597,22.6597,22.6597,5475
2001-07-18,22.6597,22.6597,22.6597,22.6597,5475
2001-07-19,22.6597,22.6597,22.6597,22.6597,5475
2001-07-20,22.6597,22.6597,22.6597,22.6597,1369
2001-07-23,22.6597,22.6597,22.6597,22.6597,1369
2001-07-24,22.6597,22.6597,22.6597,22.6597,1369
2001-07-25,22.6597,22.6597,22.6597,22.6597,1369
2001-07-26,22.6597,22.6597,22.6597,22.6597,1369
2001-07-27,22.6597,22.7591,22.6597,22.7591,6844
2001-07-30,22.6597,22.7591,22.6597,22.7591,6844
2001-07-31,22.6597,22.7591,22.6597,22.7591,6844
2001-08-01,22.7591,22.7591,22.7591,22.7591,684
2001-08-02,22.7591,22.7591,22.7591,22.7591,684
2001-08-03,22.7591,22.7591,22.7591,22.7591,684
2001-08-06,22.7591,22.7591,22.7591,22.7591,684
2001-08-07,22.7591,22.7591,22.7591,22.7591,684
2001-08-08,22.7591,22.7591,22.7591,22.7591,684
2001-08-09,22.7591,22.7591,22.7591,22.7591,684
2001-08-10,22.7591,22.7591,22.7591,22.7591,684
