Ticker,Name,Weight,Shares,Price
PAKT PA Equity,Pakistan Tobacco Co Ltd,0.632519,12.372747,1070.3299
JDWS PA Equity,JDW Sugar Mills Ltd,0.628122,29.888331,440
CHCC PA Equity,Cherat Cement Co Ltd,0.622254,105.979112,122.93
KOHC PA Equity,Kohat Cement Co Ltd,0.608543,46.352607,274.87
AICL PA Equity,Adamjee Insurance Co Ltd,0.608381,245,51.99
MTL PA Equity,Millat Tractors Ltd,0.591155,22.146272,558.87
GLAXO PA Equity,GlaxoSmithKline Pakistan Ltd,0.555785,51.065751,227.87
THALL PA Equity,Thal Ltd,0.549772,32.411964,355.13
ATRL PA Equity,Attock Refinery Ltd,0.542097,34.1172,332.67
PSMC PA Equity,PAK Suzuki Motor Co Ltd,0.521129,21.712975,502.5
APL PA Equity,Attock Petroleum Ltd,0.512537,20.736,517.5
FEROZ PA Equity,Ferozsons Laboratories Ltd,0.49277,12.074736,854.43
NCPL PA Equity,Nishat Chunian Power Ltd,0.478832,179.502419,55.85
PTC PA Equity,Pakistan Telecommunication Co Ltd,0.455582,589.155468,16.19
SNGP PA Equity,SUI Northern Gas Pipeline,0.437204,190.265,48.11
ISL PA Equity,International Steels Ltd,0.425925,174,51.25
NPL PA Equity,Nishat Power Ltd,0.423906,159.339825,55.7
SSGC PA Equity,SUI Southern Gas Co Ltd,0.412756,264.274893,32.7
IGIHL PA Equity,IGI Holdings Ltd,0.358632,36.80686,204
JLICL PA Equity,Jubilee Life Insurance Co Ltd,0.356171,14.42376,517
ICI PA Equity,ICI Pakistan Ltd,0.354102,13.853858,535.14
SHEL PA Equity,Shell Pakistan Ltd,0.352346,21.402466,344.68
COLG PA Equity,Colgate Palmolive,0.350441,4.795493,1530
CPPL PA Equity,Cherat Packaging Ltd,0.349176,19.243575,379.9
AKBL PA Equity,Askari Bank Ltd,0.347618,378.078054,19.25
SHFA PA Equity,Shifa International Hospitals Ltd,0.345376,21.81516,331.47
BATA PA Equity,Bata Pakistan Ltd,0.343775,1.7555,4100
GHGL PA Equity,Ghani Glass Ltd,0.324556,65.774413,103.31
HGFA PA Equity,HBL Growth Fund,0.318856,261.797124,25.5
SPWL PA Equity,Saif Power Ltd,0.307266,188.049146,34.21
FABL PA Equity,Faysal Bank Ltd,0.306261,419.916035,15.27
SRVI PA Equity,Service Industries Ltd,0.297383,5.412955,1150.25
AHCL PA Equity,Arif Habib Corp Ltd,0.292902,136.125,45.05
DCR PA Equity,Dolmen City REIT,0.277739,555.925,10.46
BOP PA Equity,Bank of Punjab/The,0.275642,652.09826,8.85
PICT PA Equity,Pakistan International Container Termina,0.265886,16.372973,340
JSCL PA Equity,Jahangir Siddiqui & Co Ltd,0.26065,274.782716,19.86
NCL PA Equity,Nishat Chunian Ltd,0.252765,120.110778,44.06
MEBL PA Equity,Meezan Bank Ltd,0.251441,100.27379,52.5
HUMNL PA Equity,Hum Network Ltd,0.250842,425.25,12.35
SNBL PA Equity,Soneri Bank Ltd,0.221158,330.739044,14
FML PA Equity,Feroze 1888 Mills Ltd,0.215515,18.840048,239.5
SCBPL PA Equity,Standard Chartered Bank Pakistan Ltd,0.210529,193.579251,22.77
JGICL PA Equity,Jubilee General Insurance Co Ltd,0.192982,39.227519,103
RMPL PA Equity,Rafhan Maize Products Co Ltd,0.180834,0.50481,7500
LPL PA Equity,Lalpir Power Ltd,0.166763,151.935493,22.98
PKGP PA Equity,Pakgen Power Ltd,0.138566,111.624477,25.99
EFUL PA Equity,EFU Life Assurance Ltd,0.134691,15,188
OLPL PA Equity,ORIX Leasing Pakistan Ltd,0.093171,41.041397,47.53
IDYM PA Equity,Indus Dyeing & Manufacturing Co Ltd,0.062737,2.71106,484.5
ARM PA Equity,Allied Rental Modaraba,0.060806,52.65,24.18
IBFL PA Equity,Ibrahim Fibres Ltd,0.046798,15.52535,63.11
PUNO PA Equity,Punjab Oil Mills Ltd,0.025624,1.577924,340
BNWM PA Equity,Bannu Woollen Mills Ltd,0.012605,4.277813,61.69
ASRL PA Equity,Associated Services Ltd,0.002311,0.71148,68
