,Unnamed: 0,Date,Open,High,Low,Close,Volume,Predicted Price,21 SMA,50 SMA,100 SMA,200 SMA,14 RSI,Upper BBand,Middle BBand,Lower BBand,MACD,MACD Signal,MACD Trend,52-week high,52-week low,21-avg volume,First Resistance,Second Resistance,Third Resistance,First Support,Second Support,Third Support
0,3734,2015-05-15,45.0859,45.0859,45.0859,45.0859,1000,45.148323,,,,,,,,,,,NaN,NaN,NaN,NaN,45.0859,45.0859,45.0859,45.0859,45.0859,45.0859
1,3735,2015-05-18,45.0859,45.0859,45.0859,45.0859,1000,44.875206,,,,,,,,,,,NaN,NaN,NaN,NaN,45.0859,45.0859,45.0859,45.0859,45.0859,45.0859
2,3736,2015-05-19,45.0859,45.0859,45.0859,45.0859,1000,44.434925,,,,,,,,,,,NaN,NaN,NaN,NaN,45.0859,45.0859,45.0859,45.0859,45.0859,45.0859
3,3737,2015-05-20,45.0859,45.0859,45.0859,45.0859,1000,44.434925,,,,,,,,,,,NaN,NaN,NaN,NaN,45.0859,45.0859,45.0859,45.0859,45.0859,45.0859
4,3738,2015-05-21,45.0859,45.0859,45.0859,45.0859,1000,44.434925,,,,,,,,,,,NaN,NaN,NaN,NaN,45.0859,45.0859,45.0859,45.0859,45.0859,45.0859
5,3739,2015-05-22,45.0859,45.0859,45.0859,45.0859,1000,44.434925,,,,,,,,,,,NaN,NaN,NaN,NaN,45.0859,45.0859,45.0859,45.0859,45.0859,45.0859
6,3740,2015-05-25,45.0859,45.0859,45.0859,45.0859,1000,44.434925,,,,,,,,,,,NaN,NaN,NaN,NaN,45.0859,45.0859,45.0859,45.0859,45.0859,45.0859
7,3741,2015-05-26,45.0859,45.0859,45.0859,45.0859,1000,44.434925,,,,,,,,,,,NaN,NaN,NaN,NaN,45.0859,45.0859,45.0859,45.0859,45.0859,45.0859
8,3742,2015-05-27,45.0859,45.0859,45.0859,45.0859,1000,44.434925,,,,,,,,,,,NaN,NaN,NaN,NaN,45.0859,45.0859,45.0859,45.0859,45.0859,45.0859
9,3743,2015-05-28,45.0859,48.1798,48.1798,48.1798,1000,44.434925,,,,,,,,,,,NaN,NaN,NaN,NaN,48.1798,48.1798,48.1798,48.1798,48.1798,48.1798
10,3744,2015-05-29,45.0859,48.1798,48.1798,48.1798,1000,45.15983,,,,,,,,,,,NaN,NaN,NaN,NaN,48.1798,48.1798,48.1798,48.1798,48.1798,48.1798
11,3745,2015-06-01,45.0859,50.5872,50.5872,50.5872,1000,45.864532,,,,,,,,,,,NaN,NaN,NaN,NaN,50.5872,50.5872,50.5872,50.5872,50.5872,50.5872
12,3746,2015-06-02,45.0859,50.5872,50.5872,50.5872,1000,46.973076,,,,,,,,,,,NaN,NaN,NaN,NaN,50.5872,50.5872,50.5872,50.5872,50.5872,50.5872
13,3747,2015-06-03,48.8085,48.8085,48.8085,48.8085,1000,47.889534,,,,,,,,,,,NaN,NaN,NaN,NaN,48.8085,48.8085,48.8085,48.8085,48.8085,48.8085
14,3748,2015-06-04,48.8085,48.8085,48.8085,48.8085,1000,48.496628,,,,,75.5673076923077,,,,,,NaN,NaN,NaN,NaN,48.8085,48.8085,48.8085,48.8085,48.8085,48.8085
15,3749,2015-06-05,48.8085,48.8085,48.8085,48.8085,1000,48.379326,,,,,75.56730769230768,,,,,,NaN,NaN,NaN,NaN,48.8085,48.8085,48.8085,48.8085,48.8085,48.8085
16,3750,2015-06-08,48.8085,48.8085,48.8085,48.8085,1000,48.518776,,,,,75.56730769230768,,,,,,NaN,NaN,NaN,NaN,48.8085,48.8085,48.8085,48.8085,48.8085,48.8085
17,3751,2015-06-09,48.8085,48.8085,48.8085,48.8085,1000,48.30925,,,,,75.56730769230768,,,,,,NaN,NaN,NaN,NaN,48.8085,48.8085,48.8085,48.8085,48.8085,48.8085
18,3752,2015-06-10,48.8085,48.8085,48.8085,48.8085,1000,47.965797,,,,,75.56730769230768,,,,,,NaN,NaN,NaN,NaN,48.8085,48.8085,48.8085,48.8085,48.8085,48.8085
19,3753,2015-06-11,48.8085,48.8085,48.8085,48.8085,1000,47.965797,,,,,75.56730769230768,51.32644777716152,47.248329999999996,43.17021222283847,,,NaN,NaN,NaN,NaN,48.8085,48.8085,48.8085,48.8085,48.8085,48.8085
20,3754,2015-06-12,48.8085,48.8085,48.8085,48.8085,1000,47.965797,47.322623809523805,,,,75.56730769230768,51.43996527169837,47.43445999999999,43.428954728301605,,,NaN,NaN,NaN,NaN,48.8085,48.8085,48.8085,48.8085,48.8085,48.8085
21,3755,2015-06-15,48.8085,48.8085,48.8085,48.8085,1000,47.965797,47.499890476190465,,,,75.56730769230768,51.51673493359847,47.620589999999986,43.7244450664015,,,NaN,NaN,NaN,1000.0,48.8085,48.8085,48.8085,48.8085,48.8085,48.8085
22,3756,2015-06-16,48.8085,48.8085,48.8085,48.8085,1000,47.965797,47.677157142857126,,,,75.56730769230768,51.553540410748795,47.806719999999984,44.059899589251174,,,NaN,NaN,NaN,1000.0,48.8085,48.8085,48.8085,48.8085,48.8085,48.8085
23,3757,2015-06-17,48.8085,48.8085,48.8085,48.8085,1000,47.965797,47.854423809523794,,,,75.56730769230768,51.54534574552949,47.99284999999998,44.44035425447048,,,NaN,NaN,NaN,1000.0,48.8085,48.8085,48.8085,48.8085,48.8085,48.8085
24,3758,2015-06-18,48.8085,48.8085,48.8085,48.8085,1000,47.965797,48.031690476190455,,,,75.56730769230768,51.48422338565337,48.17897999999998,44.87373661434659,,,NaN,NaN,NaN,1000.0,48.8085,48.8085,48.8085,48.8085,48.8085,48.8085
25,3759,2015-06-19,48.8085,48.8085,48.8085,48.8085,1000,47.965797,48.20895714285712,,,,75.56730769230768,51.35708036075028,48.36510999999997,45.373139639249665,,,NaN,NaN,NaN,1000.0,48.8085,48.8085,48.8085,48.8085,48.8085,48.8085
26,3760,2015-06-22,48.8085,48.8085,48.8085,48.8085,1000,47.965797,48.386223809523784,,,,75.56730769230768,51.140059117977955,48.55123999999997,45.96242088202199,,,NaN,NaN,NaN,1000.0,48.8085,48.8085,48.8085,48.8085,48.8085,48.8085
27,3761,2015-06-23,48.8085,48.8085,48.8085,48.8085,1000,47.965797,48.56349047619045,,,,75.56730769230768,50.78063385873409,48.73736999999997,46.69410614126585,,,NaN,NaN,NaN,1000.0,48.8085,48.8085,48.8085,48.8085,48.8085,48.8085
28,3762,2015-06-24,48.8085,49.6358,49.6358,49.6358,1000,47.965797,48.780152380952345,,,,81.50038391691996,50.174286331509414,48.96486499999997,47.75544366849052,,,NaN,NaN,NaN,1000.0,49.63579999999999,49.635799999999996,49.63579999999999,49.63579999999999,49.635799999999996,49.63579999999999
29,3763,2015-06-25,48.8085,49.6358,49.6358,49.6358,1000,48.159866,48.99681428571425,,,,81.50038391691996,50.22436881355691,49.03766499999997,47.85096118644303,,,NaN,NaN,NaN,1000.0,49.63579999999999,49.635799999999996,49.63579999999999,49.63579999999999,49.635799999999996,49.63579999999999
30,3764,2015-06-26,48.8085,49.6358,49.6358,49.6358,1000,48.34778,49.066147619047584,,,,81.50038391691997,50.25564324163312,49.11046499999997,47.965286758366815,,,NaN,NaN,NaN,1000.0,49.63579999999999,49.635799999999996,49.63579999999999,49.63579999999999,49.635799999999996,49.63579999999999
31,3765,2015-06-29,52.1176,52.1176,52.1176,52.1176,500,48.494797,49.25366190476186,,,,90.3135403818767,50.818068962617126,49.18698499999997,47.55590103738282,,,NaN,NaN,NaN,1000.0,52.1176,52.1176,52.1176,52.1176,52.1176,52.1176
32,3766,2015-06-30,52.1176,52.1176,52.1176,52.1176,500,49.17904,49.32653809523805,,,,90.3135403818767,51.25413155912843,49.26350499999997,47.2728784408715,,,NaN,NaN,NaN,976.1904761904761,52.1176,52.1176,52.1176,52.1176,52.1176,52.1176
33,3767,2015-07-01,52.5312,52.5312,52.1176,52.1176,500,49.9031,49.39941428571423,,,,90.3135403818767,51.76152477157769,49.428959999999975,47.09639522842226,1.33268619215076,1.1174036475060731,Bullish,NaN,NaN,952.3809523809524,52.39333333333334,52.669066666666666,52.80693333333333,51.97973333333334,51.841866666666675,51.56613333333335
34,3768,2015-07-02,52.5312,52.5312,52.1176,52.1176,500,50.34513,49.55699047619042,,,,90.3135403818767,52.18287397651573,49.59441499999998,47.005956023484224,1.378131148346725,1.1695491476742035,Bullish,NaN,NaN,928.5714285714286,52.39333333333334,52.669066666666666,52.80693333333333,51.97973333333334,51.841866666666675,51.56613333333335
35,3769,2015-07-03,52.5312,52.5312,52.1176,52.1176,500,50.633442,49.714566666666606,,,,90.3135403818767,52.54202356808403,49.75986999999998,46.97771643191592,1.3980309727356257,1.2152455126864878,Bullish,NaN,NaN,904.7619047619048,52.39333333333334,52.669066666666666,52.80693333333333,51.97973333333334,51.841866666666675,51.56613333333335
36,3770,2015-07-06,52.5312,52.5312,52.1176,52.1176,500,51.107048,49.8721428571428,,,,90.3135403818767,52.851352037383734,49.92532499999998,46.999297962616225,1.397690026342481,1.2517344154176864,Bullish,NaN,NaN,880.952380952381,52.39333333333334,52.669066666666666,52.80693333333333,51.97973333333334,51.841866666666675,51.56613333333335
37,3771,2015-07-07,52.5312,52.5312,52.1176,52.1176,500,51.107048,50.02971904761898,,,,90.3135403818767,53.11797129134558,50.09077999999998,47.06358870865438,1.381494811631697,1.2776864946604884,Bullish,NaN,NaN,857.1428571428571,52.39333333333334,52.669066666666666,52.80693333333333,51.97973333333334,51.841866666666675,51.56613333333335
38,3772,2015-07-08,52.5312,52.5312,52.1176,52.1176,500,51.107048,50.18729523809517,,,,90.3135403818767,53.346079194954626,50.25623499999999,47.16639080504535,1.353062722480722,1.292761740224535,Bullish,NaN,NaN,833.3333333333334,52.39333333333334,52.669066666666666,52.80693333333333,51.97973333333334,51.841866666666675,51.56613333333335
39,3773,2015-07-09,52.5312,52.5312,52.1176,52.1176,500,51.107048,50.34487142857136,,,,90.3135403818767,53.5379994081931,50.42168999999999,47.30538059180688,1.3153673509523927,1.2972828623701065,Bullish,NaN,NaN,809.5238095238095,52.39333333333334,52.669066666666666,52.80693333333333,51.97973333333334,51.841866666666675,51.56613333333335
40,3774,2015-07-10,52.5312,52.5312,52.1176,52.1176,500,51.107048,50.502447619047544,,,,90.3135403818767,53.69465664919634,50.58714499999999,47.479633350803645,1.2708439988894327,1.2919950896739718,Bearish,NaN,NaN,785.7142857142857,52.39333333333334,52.669066666666666,52.80693333333333,51.97973333333334,51.841866666666675,51.56613333333335
41,3775,2015-07-13,52.5312,52.5312,52.1176,52.1176,500,51.107048,50.660023809523736,,,,90.3135403818767,53.81574709343037,50.752599999999994,47.68945290656962,1.2214784780550403,1.2778917673501855,Bearish,NaN,NaN,761.9047619047619,52.39333333333334,52.669066666666666,52.80693333333333,51.97973333333334,51.841866666666675,51.56613333333335
42,3776,2015-07-14,52.5312,52.5312,52.1176,52.1176,500,51.107048,50.81759999999992,,,,90.3135403818767,53.89968353586578,50.918054999999995,47.93642646413421,1.1688818052867305,1.2560897749374944,Bearish,NaN,NaN,738.0952380952381,52.39333333333334,52.669066666666666,52.80693333333333,51.97973333333334,51.841866666666675,51.56613333333335
43,3777,2015-07-15,52.5312,52.5312,52.1176,52.1176,500,51.107048,50.97517619047611,,,,90.3135403818767,53.943290495000234,51.083510000000004,48.223729504999774,1.1143529955077227,1.22774241905154,Bearish,NaN,NaN,714.2857142857143,52.39333333333334,52.669066666666666,52.80693333333333,51.97973333333334,51.841866666666675,51.56613333333335
44,3778,2015-07-16,52.5312,52.5312,52.1176,52.1176,500,51.107048,51.1327523809523,,,,90.3135403818767,53.941097496198076,51.248965,48.55683250380192,1.0589318141081279,1.1939802980628575,Bearish,NaN,NaN,690.4761904761905,52.39333333333334,52.669066666666666,52.80693333333333,51.97973333333334,51.841866666666675,51.56613333333335
45,3779,2015-07-17,52.5312,52.5312,52.1176,52.1176,500,51.107048,51.29032857142848,,,,90.3135403818767,53.883793891978655,51.41441999999999,48.94504610802133,1.0034430615687526,1.1558728507640366,Bearish,NaN,NaN,666.6666666666666,52.39333333333334,52.669066666666666,52.80693333333333,51.97973333333334,51.841866666666675,51.56613333333335
46,3780,2015-07-20,52.5312,52.5312,52.1176,52.1176,500,51.107048,51.447904761904674,,,,90.3135403818767,53.7545093608722,51.579874999999994,49.40524063912779,0.9485337191339838,1.114405024438026,Bearish,NaN,NaN,642.8571428571429,52.39333333333334,52.669066666666666,52.80693333333333,51.97973333333334,51.841866666666675,51.56613333333335
47,3781,2015-07-21,52.5312,52.5312,52.1176,52.1176,500,51.107048,51.60548095238086,,,,90.3135403818767,53.517689707391895,51.74532999999999,49.97297029260808,0.8947040779770106,1.0704648351458228,Bearish,NaN,NaN,619.047619047619,52.39333333333334,52.669066666666666,52.80693333333333,51.97973333333334,51.841866666666675,51.56613333333335
48,3782,2015-07-22,52.5312,52.5312,52.1176,52.1176,500,51.107048,51.76305714285705,,,,90.3135403818767,53.35849999999528,51.86941999999999,50.3803400000047,0.8423337998286442,1.0248386280823871,Bearish,NaN,NaN,595.2380952380952,52.39333333333334,52.669066666666666,52.80693333333333,51.97973333333334,51.841866666666675,51.56613333333335
