,Unnamed: 0,Unnamed: 0.1,Date,Open,High,Low,Close,Volume,Predicted Price,21 SMA,50 SMA,100 SMA,200 SMA,RSI,Upper BBand,Middle BBand,Lower BBand,MACD,MACD Signal,MACD Trend,52-week high,52-week low,21-avg volume,First Resistance,Second Resistance,Third Resistance,First Support,Second Support,Third Support,Score,Label,Diff,RSI change,21 SMA change,Pred
658,758,3317,2020-04-01,101.7392,103.2209,98.77600000000001,101.4528,1281566.0,99.63154,120.64754761904732,142.53456000000043,147.8026070000001,132.16544050000016,29.082622975541746,154.99752702852092,118.8830400000003,82.76855297147972,-13.676065772169522,-12.863641276680724,Bearish,167.7541,97.3042,1624869.1904761903,103.5238,105.5948,107.9687,99.0789,96.705,94.634,0,0.0,0.0,-0.2773747095370176,-2.6145142857142787,0
659,759,3318,2020-04-02,100.7515,106.5793,99.7835,105.6112,4071169.0,100.6347,118.25104761904731,141.3278360000004,147.4914330000001,132.14651000000015,34.479861145171036,149.98497934929816,116.6167200000003,83.24846065070244,-12.864684639335664,-12.863849949211714,Bearish,167.7541,97.3042,1637072.333333333,108.19916666666666,110.78713333333332,114.99496666666666,101.40336666666666,97.19553333333332,94.60756666666666,-1,1.0,0.0,5.39723816962929,-2.396500000000003,1
660,760,3319,2020-04-03,106.678,110.1352,105.1964,107.56700000000001,2307559.0,102.19657,116.18578095238064,140.17800000000042,147.1826290000001,132.14266700000016,36.911785263262246,145.41643109680942,114.6996550000003,83.98287890319118,-11.926362844216996,-12.676352528212774,Bullish,167.7541,97.3042,1816594.666666667,110.06933333333332,112.57166666666666,115.00813333333332,105.13053333333332,102.69406666666666,100.19173333333332,1,1.0,1.0,2.43192411809121,-2.0652666666666732,1
661,761,3320,2020-04-06,106.678,107.1719,101.7392,102.6776,1491602.0,104.20045999999999,114.12717619047586,138.91221200000044,146.8282510000001,132.10524250000014,33.55833811657295,142.59982860704744,113.04837000000029,83.49691139295314,-11.445335080585934,-12.430149038687404,Bullish,167.7541,97.3042,1854873.666666667,105.98659999999997,109.29559999999998,111.41929999999996,100.55389999999996,98.4302,95.12119999999996,1,-1.0,1.0,-3.353447146689298,-2.0586047619047747,-1
662,762,3321,2020-04-07,103.4184,107.56700000000001,103.4184,106.7077,1644171.0,104.19904,112.746433333333,137.76765200000042,146.5170060000001,132.07759000000016,38.51659754125843,137.81888573272659,111.29341500000031,84.76794426727402,-10.616540848902504,-12.067427400730427,Bullish,167.7541,97.3042,1878235.666666667,108.37700000000001,110.0463,112.52559999999998,104.2284,101.7491,100.07980000000002,1,1.0,0.0,4.95825942468548,-1.380742857142863,1
663,763,3322,2020-04-08,105.2557,106.678,99.2797,105.3643,998238.0,104.86235,111.01107619047589,136.67962200000045,146.2303160000001,132.02935100000016,37.51168213655857,131.1761193800975,109.3433600000003,87.51060061990309,-9.953380230359627,-11.644617966656265,Bullish,167.7541,97.3042,1904205.7142857143,108.2683,111.1723,115.6666,100.87,96.3757,93.4717,-1,-1.0,0.0,-1.004915404699858,-1.7353571428571115,0
664,764,3323,2020-04-09,106.678,108.6239,106.2928,107.1324,3047815.0,105.44666000000001,109.23807619047588,135.60293000000044,145.98523200000008,131.98717850000014,39.740097659821174,126.50378435764351,107.9739000000003,89.44401564235706,-9.17933609639742,-11.151561592604496,Bullish,167.7541,97.3042,1841307.523809524,108.4066,109.6808,110.7377,106.0755,105.0186,103.74439999999998,0,1.0,0.0,2.228415523262605,-1.7730000000000103,1
665,765,3324,2020-04-10,107.0731,108.1597,104.7025,107.7152,565234.0,106.13456000000001,107.96158095238064,134.57129400000045,145.7157030000001,131.95782000000014,40.49338383725411,119.88475857953094,106.5569200000003,93.22908142046964,-8.421792275243021,-10.605607729132199,Bullish,167.7541,97.3042,1888874.9047619046,109.01576666666666,110.31633333333332,112.47296666666666,105.55856666666666,103.40193333333332,102.10136666666666,1,0.0,0.0,0.7532861774329334,-1.2764952380952366,0
666,766,3325,2020-04-13,106.3817,106.4508,103.4184,104.7223,741935.0,106.33061000000001,106.46955714285684,133.59776800000046,145.40022900000008,131.92961450000018,37.87495346842774,115.4659375901189,105.5000600000003,95.53418240988172,-7.97105005325318,-10.078696193956397,Bullish,167.7541,97.3042,1822719.3809523808,106.30926666666666,107.89623333333333,109.34166666666664,103.27686666666666,101.83143333333334,100.24446666666668,0,-1.0,0.0,-2.618430368826367,-1.4920238095238005,-1
667,767,3326,2020-04-14,105.6903,107.6658,104.7025,105.2952,627123.0,106.182396,105.49030476190443,132.64507600000044,145.0954650000001,131.90379550000014,38.69218310936207,113.55824431632959,104.94352500000029,96.32880568367098,-7.481364835987606,-9.559229922362636,Bullish,167.7541,97.3042,1764621.0476190476,107.07316666666668,108.85113333333334,110.03646666666668,104.10986666666666,102.92453333333331,101.14656666666666,1,0.0,0.0,0.8172296409343289,-0.979252380952417,0
