,Date,Open,High,Low,Close,Volume,21 SMA,50 SMA,100 SMA,200 SMA,14 RSI,Upper BBand,Middle BBand,Lower BBand,MACD,MACD Signal,MACD Trend,52-week high,52-week low,21-avg volume,First Resistance,Second Resistance,Third Resistance,First Support,Second Support,Third Support
0,2001-02-02,5.1613,4.8699,4.8283,4.8283,1625,,,,,,,,,,,NaN,NaN,NaN,NaN,4.856033333333333,4.883766666666667,4.897633333333334,4.814433333333333,4.800566666666666,4.772833333333332
1,2001-02-05,5.1613,4.8699,4.8283,4.8283,1625,,,,,,,,,,,NaN,NaN,NaN,NaN,4.856033333333333,4.883766666666667,4.897633333333334,4.814433333333333,4.800566666666666,4.772833333333332
2,2001-02-06,5.1613,4.8699,4.8283,4.8283,1625,,,,,,,,,,,NaN,NaN,NaN,NaN,4.856033333333333,4.883766666666667,4.897633333333334,4.814433333333333,4.800566666666666,4.772833333333332
3,2001-02-07,5.1613,4.8699,4.8283,4.8283,1625,,,,,,,,,,,NaN,NaN,NaN,NaN,4.856033333333333,4.883766666666667,4.897633333333334,4.814433333333333,4.800566666666666,4.772833333333332
4,2001-02-08,5.1613,4.8699,4.8283,4.8283,1625,,,,,,,,,,,NaN,NaN,NaN,NaN,4.856033333333333,4.883766666666667,4.897633333333334,4.814433333333333,4.800566666666666,4.772833333333332
5,2001-02-09,5.1613,4.8699,4.8283,4.8283,1625,,,,,,,,,,,NaN,NaN,NaN,NaN,4.856033333333333,4.883766666666667,4.897633333333334,4.814433333333333,4.800566666666666,4.772833333333332
6,2001-02-12,4.8283,4.9948,4.9948,4.9948,813,,,,,,,,,,,NaN,NaN,NaN,NaN,4.9948,4.9948,4.9948,4.9948,4.9948,4.9948
7,2001-02-13,4.9948,4.7034,4.6618,4.6618,3250,,,,,,,,,,,NaN,NaN,NaN,NaN,4.689533333333334,4.717266666666667,4.731133333333334,4.647933333333334,4.6340666666666674,4.6063333333333345
8,2001-02-14,4.9948,4.7034,4.6618,4.6618,3250,,,,,,,,,,,NaN,NaN,NaN,NaN,4.689533333333334,4.717266666666667,4.731133333333334,4.647933333333334,4.6340666666666674,4.6063333333333345
9,2001-02-15,4.9948,4.7034,4.6618,4.6618,3250,,,,,,,,,,,NaN,NaN,NaN,NaN,4.689533333333334,4.717266666666667,4.731133333333334,4.647933333333334,4.6340666666666674,4.6063333333333345
