,Date,Open,High,Low,Close,Volume,21 SMA,50 SMA,100 SMA,200 SMA,14 RSI,Upper BBand,Middle BBand,Lower BBand,MACD,MACD Signal,MACD Trend,52-week high,52-week low,21-avg volume,First Resistance,Second Resistance,Third Resistance,First Support,Second Support,Third Support
0,2001-01-02,2.8508,3.2448,2.8508,2.8508,4870,,,,,,,,,,,NaN,NaN,NaN,NaN,3.113466666666667,3.3761333333333337,3.507466666666667,2.719466666666667,2.5881333333333334,2.325466666666667
1,2001-01-03,3.1057,3.1057,3.1057,3.1057,696,,,,,,,,,,,NaN,NaN,NaN,NaN,3.1057,3.1057,3.1057,3.1057,3.1057,3.1057
2,2001-01-04,2.9667,3.1057,2.9667,2.9667,13915,,,,,,,,,,,NaN,NaN,NaN,NaN,3.059366666666666,3.1520333333333332,3.1983666666666664,2.920366666666666,2.8740333333333328,2.7813666666666657
3,2001-01-05,3.0594,3.0594,3.0594,3.0594,1392,,,,,,,,,,,NaN,NaN,NaN,NaN,3.0594,3.0594,3.0594,3.0594,3.0594,3.0594
4,2001-01-08,3.1289,3.1289,2.9667,3.1289,2783,,,,,,,,,,,NaN,NaN,NaN,NaN,3.182966666666666,3.2370333333333328,3.3451666666666657,3.020766666666666,2.912633333333333,2.858566666666666
5,2001-01-09,2.9898,2.9898,2.9667,2.9898,4175,,,,,,,,,,,NaN,NaN,NaN,NaN,2.997499999999999,3.0051999999999994,3.020599999999999,2.9743999999999993,2.9589999999999996,2.9512999999999994
6,2001-01-10,2.9898,2.9898,2.9667,2.9898,4175,,,,,,,,,,,NaN,NaN,NaN,NaN,2.997499999999999,3.0051999999999994,3.020599999999999,2.9743999999999993,2.9589999999999996,2.9512999999999994
7,2001-01-11,2.8971,2.9203,2.8971,2.8971,6262,,,,,,,,,,,NaN,NaN,NaN,NaN,2.9125666666666676,2.928033333333334,2.9357666666666677,2.8893666666666675,2.8816333333333337,2.8661666666666674
8,2001-01-12,2.8971,2.9203,2.8971,2.8971,6262,,,,,,,,,,,NaN,NaN,NaN,NaN,2.9125666666666676,2.928033333333334,2.9357666666666677,2.8893666666666675,2.8816333333333337,2.8661666666666674
9,2001-01-15,2.7812,2.7812,2.6422,2.7812,16698,,,,,,,,,,,NaN,NaN,NaN,NaN,2.8275333333333332,2.873866666666667,2.9665333333333335,2.688533333333333,2.5958666666666663,2.5495333333333328
10,2001-01-16,2.7812,2.7812,2.7812,2.7812,2087,,,,,,,,,,,NaN,NaN,NaN,NaN,2.7812,2.7812,2.7812,2.7812,2.7812,2.7812
11,2001-01-17,2.8044,2.8044,2.7812,2.8044,8349,,,,,,,,,,,NaN,NaN,NaN,NaN,2.8121333333333336,2.8198666666666665,2.8353333333333333,2.788933333333334,2.773466666666667,2.7657333333333343
12,2001-01-18,2.8044,2.8044,2.8044,2.8044,1392,,,,,,,,,,,NaN,NaN,NaN,NaN,2.8044,2.8044,2.8044,2.8044,2.8044,2.8044
13,2001-01-19,2.8044,2.8044,2.8044,2.8044,4175,,,,,,,,,,,NaN,NaN,NaN,NaN,2.8044,2.8044,2.8044,2.8044,2.8044,2.8044
14,2001-01-22,2.8044,2.8044,2.8044,2.8044,4175,,,,,47.49730312837108,,,,,,NaN,NaN,NaN,NaN,2.8044,2.8044,2.8044,2.8044,2.8044,2.8044
15,2001-01-23,2.8044,2.8044,2.8044,2.8044,4175,,,,,47.49730312837108,,,,,,NaN,NaN,NaN,NaN,2.8044,2.8044,2.8044,2.8044,2.8044,2.8044
16,2001-01-24,2.8044,2.8044,2.8044,2.8044,4175,,,,,47.49730312837108,,,,,,NaN,NaN,NaN,NaN,2.8044,2.8044,2.8044,2.8044,2.8044,2.8044
17,2001-01-25,2.8739,2.8739,2.8739,2.8739,696,,,,,51.99268450478982,,,,,,NaN,NaN,NaN,NaN,2.873900000000001,2.8739000000000003,2.873900000000001,2.873900000000001,2.8739000000000003,2.873900000000001
18,2001-01-26,2.8739,2.8739,2.8739,2.8739,696,,,,,51.99268450478982,,,,,,NaN,NaN,NaN,NaN,2.873900000000001,2.8739000000000003,2.873900000000001,2.873900000000001,2.8739000000000003,2.873900000000001
19,2001-01-29,2.8739,2.8739,2.8739,2.8739,696,,,,,51.99268450478982,3.108188349571875,2.89479,2.6813916504281248,,,NaN,NaN,NaN,NaN,2.873900000000001,2.8739000000000003,2.873900000000001,2.873900000000001,2.8739000000000003,2.873900000000001
20,2001-01-30,2.8971,2.8971,2.8508,2.8971,3479,2.8949000000000003,,,,53.647373976768506,3.109546667052374,2.8971050000000003,2.6846633329476264,,,NaN,NaN,NaN,NaN,2.9125333333333328,2.9279666666666664,2.9588333333333328,2.8662333333333327,2.8353666666666664,2.8199333333333327
